firma_adi;adres;telefon;website;domain
3S METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;23 NİSAN MAH.BÜLENT ECEVİT CAD. A BLOK NO:12/D YUMURTALIK BURSA;+90 (224) 341-0062;http://www.3smetal.com;3smetal.com
4A DAMPER VE EKİPMANLARI MAKİNA METAL KALIP OTOMOTİV DIŞ TİCARET SANAYİ VE TİCARET LTD.ŞTİ.;ORGANİZE SANAYİ BÖLGESİ 29.CADDE NO.59 MELİKGAZİ KAYSERI;+90 (352) 501-0666;http://www.4adamper.com;4adamper.com
4C LOJİSTİK DIŞ TİCARET LTD. ŞTİ.;DELİKLİKAYA SAPANCA CAD. NO:8A ARNAVUTKÖY İSTANBUL;+90 (212) 633-2207;http://www.hmpx-parts.com.tr;hmpx-parts.com.tr
5 M FREN SİSTEMLERİ YEDEK PARÇA İTH.İHR.SAN. VE TİC.LTD.ŞTİ.;BARAKFAKİH MAH. ANKARA CAD. NO:30 16450 BARAKFAKİ KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomotive.com.tr;5mautomotive.com.tr
5 M OTOMOTIV SAN.VE TIC.A.Ş.;BARAKFAKİH MAH. ANKARA CADDE NO.30 KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomative.com;5mautomative.com
9 DERECE ARGE OTOMOTİV SAN. VE TİC. A.Ş.;FATİH MAH. 1198. SOK. NO:4/1B GAZİEMİR İZMİR;+90 (232) 227-3131;http://www.9derece.com;9derece.com
9 EKIM GÜMRÜK MÜŞ.LOJİSTİK DANIŞMANLIK YAYINCILIK TURİZM VE DIŞ TİC LTD ŞTİ;ŞENLIKKÖY MAH.CEVIZLI SOK.16/1 BAKIRKÖY İSTANBUL;+90 (212) 624-4960;http://www.9ekim.com;9ekim.com
A MAKİNE SANAYİ TİCARET İHRACAT İTHALAT LTD.ŞTİ.;MADENLER MAH.1107.SOK.NO:3 YATAĞAN SAN.SİT. YATAĞAN MUĞLA;+90 (252) 572-6669;http://www.amakinesanayi.com;amakinesanayi.com
3 T TEKSTİL SAN. TİC. VE DAN. LTD. ŞTİ.;VEFA REVANI ÇELEBI SOK NO:18/7 Tayin edilmedi İSTANBUL;+90 (212) 512-9003;http://www.3ttekstil.com;3ttekstil.com
3 Y OTOMOTİV SANAYİ VE TİCARET LTD. ŞTİ.;SULTAN ORHAN MH. KOCABETON SANAYİ SİTESİ 2.BLOK NO:21 GEBZE KOCAELI;+90 (262) 642-2440;http://www.3yotomotiv.com;3yotomotiv.com
360 MANAGEMENT DIŞ TİC. A.Ş.;23. NİSAN MAH. ATA BLV. GİZEMLER PLAZA-3 NO:5/23 YUMURTALIK BURSA;+90 (224) 000-0000;http://www.360-management.com;360-management.com
3A ENGİNEERİNG - LEVENT İNAL;Uludağ Üniversitesi Ulutek Teknoloji Geliştirme Merkezi No. 112 YUMURTALIK BURSA;+90 (224) 280-8474;http://3aengineering.eu;3aengineering.eu
3A TEKNİK KALIP SANAYİ VE TİCARET A.Ş.;ATA SB MAH. SÜMBÜL CAD. NO:22 GEMLİK BURSA;+90 (224) 502-6092;http://www.3atechnic.com;3atechnic.com
3E TINY HOUSE KARAVAN SAN. VE TİC.A.Ş.;ZAFER MAH. 2349 SOK. NO:10 ÇOBANLAR İZMİR;+90 (850) 307-9903;http://www.zutinyhouse.com;zutinyhouse.com
3K SÜNGER KUMAŞ VE DÖŞEME MALZ. PAZ. İTH. VE İHR. SAN VE TİC. LTD.ŞTİ;KÜÇÜK BALIKLI MAH. KÜÇÜK BALIKLI CAD. NO:70 OSMANGAZİ BURSA;;http://www.3kmalzeme.com;3kmalzeme.com
3M PREFABRİK İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ;HACI YUSUF MESCİD MAH.ADANA ÇEVRE YOLU CAD.NO:73/1 KARATAY KONYA;+90 (332) 342-1615;http://www.yanelprefabrik.com;yanelprefabrik.com
3M SANAYİ VE TİCARET A.Ş.;BARBAROS MAH. MOR SÜMBÜL SK. NİDAKULE ATAŞEHİR GÜNEY SİT. PODYUM KAPISI APT. NO:7/3F/51 YENİSAHRA ATAŞEHİR İSTANBUL;+90 (216) 538-0505;http://https://www.3m.com.tr;https
3S KALIP APARAT MAKİNA SANAYİ VE TİCARET A.Ş.;HASANAĞA ORGANİZE SANAYİ BÖLGESİ SANAYİ CAD. NO.40 YUMURTALIK BURSA;+90 (224) 484-2636;http://www.3skalip.com.tr;3skalip.com.tr
3S METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;23 NİSAN MAH.BÜLENT ECEVİT CAD. A BLOK NO:12/D YUMURTALIK BURSA;+90 (224) 341-0062;http://www.3smetal.com;3smetal.com
4A DAMPER VE EKİPMANLARI MAKİNA METAL KALIP OTOMOTİV DIŞ TİCARET SANAYİ VE TİCARET LTD.ŞTİ.;ORGANİZE SANAYİ BÖLGESİ 29.CADDE NO.59 MELİKGAZİ KAYSERI;+90 (352) 501-0666;http://www.4adamper.com;4adamper.com
4C LOJİSTİK DIŞ TİCARET LTD. ŞTİ.;DELİKLİKAYA SAPANCA CAD. NO:8A ARNAVUTKÖY İSTANBUL;+90 (212) 633-2207;http://www.hmpx-parts.com.tr;hmpx-parts.com.tr
5 M FREN SİSTEMLERİ YEDEK PARÇA İTH.İHR.SAN. VE TİC.LTD.ŞTİ.;BARAKFAKİH MAH. ANKARA CAD. NO:30 16450 BARAKFAKİ KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomotive.com.tr;5mautomotive.com.tr
5 M OTOMOTIV SAN.VE TIC.A.Ş.;BARAKFAKİH MAH. ANKARA CADDE NO.30 KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomative.com;5mautomative.com
9 DERECE ARGE OTOMOTİV SAN. VE TİC. A.Ş.;FATİH MAH. 1198. SOK. NO:4/1B GAZİEMİR İZMİR;+90 (232) 227-3131;http://www.9derece.com;9derece.com
9 EKIM GÜMRÜK MÜŞ.LOJİSTİK DANIŞMANLIK YAYINCILIK TURİZM VE DIŞ TİC LTD ŞTİ;ŞENLIKKÖY MAH.CEVIZLI SOK.16/1 BAKIRKÖY İSTANBUL;+90 (212) 624-4960;http://www.9ekim.com;9ekim.com
A MAKİNE SANAYİ TİCARET İHRACAT İTHALAT LTD.ŞTİ.;MADENLER MAH.1107.SOK.NO:3 YATAĞAN SAN.SİT. YATAĞAN MUĞLA;+90 (252) 572-6669;http://www.amakinesanayi.com;amakinesanayi.com
3 T TEKSTİL SAN. TİC. VE DAN. LTD. ŞTİ.;VEFA REVANI ÇELEBI SOK NO:18/7 Tayin edilmedi İSTANBUL;+90 (212) 512-9003;http://www.3ttekstil.com;3ttekstil.com
3 Y OTOMOTİV SANAYİ VE TİCARET LTD. ŞTİ.;SULTAN ORHAN MH. KOCABETON SANAYİ SİTESİ 2.BLOK NO:21 GEBZE KOCAELI;+90 (262) 642-2440;http://www.3yotomotiv.com;3yotomotiv.com
360 MANAGEMENT DIŞ TİC. A.Ş.;23. NİSAN MAH. ATA BLV. GİZEMLER PLAZA-3 NO:5/23 YUMURTALIK BURSA;+90 (224) 000-0000;http://www.360-management.com;360-management.com
3A ENGİNEERİNG - LEVENT İNAL;Uludağ Üniversitesi Ulutek Teknoloji Geliştirme Merkezi No. 112 YUMURTALIK BURSA;+90 (224) 280-8474;http://3aengineering.eu;3aengineering.eu
3A TEKNİK KALIP SANAYİ VE TİCARET A.Ş.;ATA SB MAH. SÜMBÜL CAD. NO:22 GEMLİK BURSA;+90 (224) 502-6092;http://www.3atechnic.com;3atechnic.com
3E TINY HOUSE KARAVAN SAN. VE TİC.A.Ş.;ZAFER MAH. 2349 SOK. NO:10 ÇOBANLAR İZMİR;+90 (850) 307-9903;http://www.zutinyhouse.com;zutinyhouse.com
3K SÜNGER KUMAŞ VE DÖŞEME MALZ. PAZ. İTH. VE İHR. SAN VE TİC. LTD.ŞTİ;KÜÇÜK BALIKLI MAH. KÜÇÜK BALIKLI CAD. NO:70 OSMANGAZİ BURSA;;http://www.3kmalzeme.com;3kmalzeme.com
3M PREFABRİK İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ;HACI YUSUF MESCİD MAH.ADANA ÇEVRE YOLU CAD.NO:73/1 KARATAY KONYA;+90 (332) 342-1615;http://www.yanelprefabrik.com;yanelprefabrik.com
3M SANAYİ VE TİCARET A.Ş.;BARBAROS MAH. MOR SÜMBÜL SK. NİDAKULE ATAŞEHİR GÜNEY SİT. PODYUM KAPISI APT. NO:7/3F/51 YENİSAHRA ATAŞEHİR İSTANBUL;+90 (216) 538-0505;http://https://www.3m.com.tr;https
3S KALIP APARAT MAKİNA SANAYİ VE TİCARET A.Ş.;HASANAĞA ORGANİZE SANAYİ BÖLGESİ SANAYİ CAD. NO.40 YUMURTALIK BURSA;+90 (224) 484-2636;http://www.3skalip.com.tr;3skalip.com.tr
3S METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;23 NİSAN MAH.BÜLENT ECEVİT CAD. A BLOK NO:12/D YUMURTALIK BURSA;+90 (224) 341-0062;http://www.3smetal.com;3smetal.com
4A DAMPER VE EKİPMANLARI MAKİNA METAL KALIP OTOMOTİV DIŞ TİCARET SANAYİ VE TİCARET LTD.ŞTİ.;ORGANİZE SANAYİ BÖLGESİ 29.CADDE NO.59 MELİKGAZİ KAYSERI;+90 (352) 501-0666;http://www.4adamper.com;4adamper.com
4C LOJİSTİK DIŞ TİCARET LTD. ŞTİ.;DELİKLİKAYA SAPANCA CAD. NO:8A ARNAVUTKÖY İSTANBUL;+90 (212) 633-2207;http://www.hmpx-parts.com.tr;hmpx-parts.com.tr
5 M FREN SİSTEMLERİ YEDEK PARÇA İTH.İHR.SAN. VE TİC.LTD.ŞTİ.;BARAKFAKİH MAH. ANKARA CAD. NO:30 16450 BARAKFAKİ KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomotive.com.tr;5mautomotive.com.tr
5 M OTOMOTIV SAN.VE TIC.A.Ş.;BARAKFAKİH MAH. ANKARA CADDE NO.30 KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomative.com;5mautomative.com
9 DERECE ARGE OTOMOTİV SAN. VE TİC. A.Ş.;FATİH MAH. 1198. SOK. NO:4/1B GAZİEMİR İZMİR;+90 (232) 227-3131;http://www.9derece.com;9derece.com
9 EKIM GÜMRÜK MÜŞ.LOJİSTİK DANIŞMANLIK YAYINCILIK TURİZM VE DIŞ TİC LTD ŞTİ;ŞENLIKKÖY MAH.CEVIZLI SOK.16/1 BAKIRKÖY İSTANBUL;+90 (212) 624-4960;http://www.9ekim.com;9ekim.com
A MAKİNE SANAYİ TİCARET İHRACAT İTHALAT LTD.ŞTİ.;MADENLER MAH.1107.SOK.NO:3 YATAĞAN SAN.SİT. YATAĞAN MUĞLA;+90 (252) 572-6669;http://www.amakinesanayi.com;amakinesanayi.com
3 T TEKSTİL SAN. TİC. VE DAN. LTD. ŞTİ.;VEFA REVANI ÇELEBI SOK NO:18/7 Tayin edilmedi İSTANBUL;+90 (212) 512-9003;http://www.3ttekstil.com;3ttekstil.com
3 Y OTOMOTİV SANAYİ VE TİCARET LTD. ŞTİ.;SULTAN ORHAN MH. KOCABETON SANAYİ SİTESİ 2.BLOK NO:21 GEBZE KOCAELI;+90 (262) 642-2440;http://www.3yotomotiv.com;3yotomotiv.com
360 MANAGEMENT DIŞ TİC. A.Ş.;23. NİSAN MAH. ATA BLV. GİZEMLER PLAZA-3 NO:5/23 YUMURTALIK BURSA;+90 (224) 000-0000;http://www.360-management.com;360-management.com
3A ENGİNEERİNG - LEVENT İNAL;Uludağ Üniversitesi Ulutek Teknoloji Geliştirme Merkezi No. 112 YUMURTALIK BURSA;+90 (224) 280-8474;http://3aengineering.eu;3aengineering.eu
3A TEKNİK KALIP SANAYİ VE TİCARET A.Ş.;ATA SB MAH. SÜMBÜL CAD. NO:22 GEMLİK BURSA;+90 (224) 502-6092;http://www.3atechnic.com;3atechnic.com
3E TINY HOUSE KARAVAN SAN. VE TİC.A.Ş.;ZAFER MAH. 2349 SOK. NO:10 ÇOBANLAR İZMİR;+90 (850) 307-9903;http://www.zutinyhouse.com;zutinyhouse.com
3K SÜNGER KUMAŞ VE DÖŞEME MALZ. PAZ. İTH. VE İHR. SAN VE TİC. LTD.ŞTİ;KÜÇÜK BALIKLI MAH. KÜÇÜK BALIKLI CAD. NO:70 OSMANGAZİ BURSA;;http://www.3kmalzeme.com;3kmalzeme.com
3M PREFABRİK İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ;HACI YUSUF MESCİD MAH.ADANA ÇEVRE YOLU CAD.NO:73/1 KARATAY KONYA;+90 (332) 342-1615;http://www.yanelprefabrik.com;yanelprefabrik.com
3M SANAYİ VE TİCARET A.Ş.;BARBAROS MAH. MOR SÜMBÜL SK. NİDAKULE ATAŞEHİR GÜNEY SİT. PODYUM KAPISI APT. NO:7/3F/51 YENİSAHRA ATAŞEHİR İSTANBUL;+90 (216) 538-0505;http://https://www.3m.com.tr;https
3S KALIP APARAT MAKİNA SANAYİ VE TİCARET A.Ş.;HASANAĞA ORGANİZE SANAYİ BÖLGESİ SANAYİ CAD. NO.40 YUMURTALIK BURSA;+90 (224) 484-2636;http://www.3skalip.com.tr;3skalip.com.tr
3S METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;23 NİSAN MAH.BÜLENT ECEVİT CAD. A BLOK NO:12/D YUMURTALIK BURSA;+90 (224) 341-0062;http://www.3smetal.com;3smetal.com
4A DAMPER VE EKİPMANLARI MAKİNA METAL KALIP OTOMOTİV DIŞ TİCARET SANAYİ VE TİCARET LTD.ŞTİ.;ORGANİZE SANAYİ BÖLGESİ 29.CADDE NO.59 MELİKGAZİ KAYSERI;+90 (352) 501-0666;http://www.4adamper.com;4adamper.com
4C LOJİSTİK DIŞ TİCARET LTD. ŞTİ.;DELİKLİKAYA SAPANCA CAD. NO:8A ARNAVUTKÖY İSTANBUL;+90 (212) 633-2207;http://www.hmpx-parts.com.tr;hmpx-parts.com.tr
5 M FREN SİSTEMLERİ YEDEK PARÇA İTH.İHR.SAN. VE TİC.LTD.ŞTİ.;BARAKFAKİH MAH. ANKARA CAD. NO:30 16450 BARAKFAKİ KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomotive.com.tr;5mautomotive.com.tr
5 M OTOMOTIV SAN.VE TIC.A.Ş.;BARAKFAKİH MAH. ANKARA CADDE NO.30 KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomative.com;5mautomative.com
9 DERECE ARGE OTOMOTİV SAN. VE TİC. A.Ş.;FATİH MAH. 1198. SOK. NO:4/1B GAZİEMİR İZMİR;+90 (232) 227-3131;http://www.9derece.com;9derece.com
9 EKIM GÜMRÜK MÜŞ.LOJİSTİK DANIŞMANLIK YAYINCILIK TURİZM VE DIŞ TİC LTD ŞTİ;ŞENLIKKÖY MAH.CEVIZLI SOK.16/1 BAKIRKÖY İSTANBUL;+90 (212) 624-4960;http://www.9ekim.com;9ekim.com
A MAKİNE SANAYİ TİCARET İHRACAT İTHALAT LTD.ŞTİ.;MADENLER MAH.1107.SOK.NO:3 YATAĞAN SAN.SİT. YATAĞAN MUĞLA;+90 (252) 572-6669;http://www.amakinesanayi.com;amakinesanayi.com
3 T TEKSTİL SAN. TİC. VE DAN. LTD. ŞTİ.;VEFA REVANI ÇELEBI SOK NO:18/7 Tayin edilmedi İSTANBUL;+90 (212) 512-9003;http://www.3ttekstil.com;3ttekstil.com
3 Y OTOMOTİV SANAYİ VE TİCARET LTD. ŞTİ.;SULTAN ORHAN MH. KOCABETON SANAYİ SİTESİ 2.BLOK NO:21 GEBZE KOCAELI;+90 (262) 642-2440;http://www.3yotomotiv.com;3yotomotiv.com
360 MANAGEMENT DIŞ TİC. A.Ş.;23. NİSAN MAH. ATA BLV. GİZEMLER PLAZA-3 NO:5/23 YUMURTALIK BURSA;+90 (224) 000-0000;http://www.360-management.com;360-management.com
3A ENGİNEERİNG - LEVENT İNAL;Uludağ Üniversitesi Ulutek Teknoloji Geliştirme Merkezi No. 112 YUMURTALIK BURSA;+90 (224) 280-8474;http://3aengineering.eu;3aengineering.eu
3A TEKNİK KALIP SANAYİ VE TİCARET A.Ş.;ATA SB MAH. SÜMBÜL CAD. NO:22 GEMLİK BURSA;+90 (224) 502-6092;http://www.3atechnic.com;3atechnic.com
3E TINY HOUSE KARAVAN SAN. VE TİC.A.Ş.;ZAFER MAH. 2349 SOK. NO:10 ÇOBANLAR İZMİR;+90 (850) 307-9903;http://www.zutinyhouse.com;zutinyhouse.com
3K SÜNGER KUMAŞ VE DÖŞEME MALZ. PAZ. İTH. VE İHR. SAN VE TİC. LTD.ŞTİ;KÜÇÜK BALIKLI MAH. KÜÇÜK BALIKLI CAD. NO:70 OSMANGAZİ BURSA;;http://www.3kmalzeme.com;3kmalzeme.com
3M PREFABRİK İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ;HACI YUSUF MESCİD MAH.ADANA ÇEVRE YOLU CAD.NO:73/1 KARATAY KONYA;+90 (332) 342-1615;http://www.yanelprefabrik.com;yanelprefabrik.com
3M SANAYİ VE TİCARET A.Ş.;BARBAROS MAH. MOR SÜMBÜL SK. NİDAKULE ATAŞEHİR GÜNEY SİT. PODYUM KAPISI APT. NO:7/3F/51 YENİSAHRA ATAŞEHİR İSTANBUL;+90 (216) 538-0505;http://https://www.3m.com.tr;https
3S KALIP APARAT MAKİNA SANAYİ VE TİCARET A.Ş.;HASANAĞA ORGANİZE SANAYİ BÖLGESİ SANAYİ CAD. NO.40 YUMURTALIK BURSA;+90 (224) 484-2636;http://www.3skalip.com.tr;3skalip.com.tr
3S METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;23 NİSAN MAH.BÜLENT ECEVİT CAD. A BLOK NO:12/D YUMURTALIK BURSA;+90 (224) 341-0062;http://www.3smetal.com;3smetal.com
4A DAMPER VE EKİPMANLARI MAKİNA METAL KALIP OTOMOTİV DIŞ TİCARET SANAYİ VE TİCARET LTD.ŞTİ.;ORGANİZE SANAYİ BÖLGESİ 29.CADDE NO.59 MELİKGAZİ KAYSERI;+90 (352) 501-0666;http://www.4adamper.com;4adamper.com
4C LOJİSTİK DIŞ TİCARET LTD. ŞTİ.;DELİKLİKAYA SAPANCA CAD. NO:8A ARNAVUTKÖY İSTANBUL;+90 (212) 633-2207;http://www.hmpx-parts.com.tr;hmpx-parts.com.tr
5 M FREN SİSTEMLERİ YEDEK PARÇA İTH.İHR.SAN. VE TİC.LTD.ŞTİ.;BARAKFAKİH MAH. ANKARA CAD. NO:30 16450 BARAKFAKİ KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomotive.com.tr;5mautomotive.com.tr
5 M OTOMOTIV SAN.VE TIC.A.Ş.;BARAKFAKİH MAH. ANKARA CADDE NO.30 KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomative.com;5mautomative.com
9 DERECE ARGE OTOMOTİV SAN. VE TİC. A.Ş.;FATİH MAH. 1198. SOK. NO:4/1B GAZİEMİR İZMİR;+90 (232) 227-3131;http://www.9derece.com;9derece.com
9 EKIM GÜMRÜK MÜŞ.LOJİSTİK DANIŞMANLIK YAYINCILIK TURİZM VE DIŞ TİC LTD ŞTİ;ŞENLIKKÖY MAH.CEVIZLI SOK.16/1 BAKIRKÖY İSTANBUL;+90 (212) 624-4960;http://www.9ekim.com;9ekim.com
A MAKİNE SANAYİ TİCARET İHRACAT İTHALAT LTD.ŞTİ.;MADENLER MAH.1107.SOK.NO:3 YATAĞAN SAN.SİT. YATAĞAN MUĞLA;+90 (252) 572-6669;http://www.amakinesanayi.com;amakinesanayi.com
3 T TEKSTİL SAN. TİC. VE DAN. LTD. ŞTİ.;VEFA REVANI ÇELEBI SOK NO:18/7 Tayin edilmedi İSTANBUL;+90 (212) 512-9003;http://www.3ttekstil.com;3ttekstil.com
3 Y OTOMOTİV SANAYİ VE TİCARET LTD. ŞTİ.;SULTAN ORHAN MH. KOCABETON SANAYİ SİTESİ 2.BLOK NO:21 GEBZE KOCAELI;+90 (262) 642-2440;http://www.3yotomotiv.com;3yotomotiv.com
360 MANAGEMENT DIŞ TİC. A.Ş.;23. NİSAN MAH. ATA BLV. GİZEMLER PLAZA-3 NO:5/23 YUMURTALIK BURSA;+90 (224) 000-0000;http://www.360-management.com;360-management.com
3A ENGİNEERİNG - LEVENT İNAL;Uludağ Üniversitesi Ulutek Teknoloji Geliştirme Merkezi No. 112 YUMURTALIK BURSA;+90 (224) 280-8474;http://3aengineering.eu;3aengineering.eu
3A TEKNİK KALIP SANAYİ VE TİCARET A.Ş.;ATA SB MAH. SÜMBÜL CAD. NO:22 GEMLİK BURSA;+90 (224) 502-6092;http://www.3atechnic.com;3atechnic.com
3E TINY HOUSE KARAVAN SAN. VE TİC.A.Ş.;ZAFER MAH. 2349 SOK. NO:10 ÇOBANLAR İZMİR;+90 (850) 307-9903;http://www.zutinyhouse.com;zutinyhouse.com
3K SÜNGER KUMAŞ VE DÖŞEME MALZ. PAZ. İTH. VE İHR. SAN VE TİC. LTD.ŞTİ;KÜÇÜK BALIKLI MAH. KÜÇÜK BALIKLI CAD. NO:70 OSMANGAZİ BURSA;;http://www.3kmalzeme.com;3kmalzeme.com
3M PREFABRİK İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ;HACI YUSUF MESCİD MAH.ADANA ÇEVRE YOLU CAD.NO:73/1 KARATAY KONYA;+90 (332) 342-1615;http://www.yanelprefabrik.com;yanelprefabrik.com
3M SANAYİ VE TİCARET A.Ş.;BARBAROS MAH. MOR SÜMBÜL SK. NİDAKULE ATAŞEHİR GÜNEY SİT. PODYUM KAPISI APT. NO:7/3F/51 YENİSAHRA ATAŞEHİR İSTANBUL;+90 (216) 538-0505;http://https://www.3m.com.tr;https
3S KALIP APARAT MAKİNA SANAYİ VE TİCARET A.Ş.;HASANAĞA ORGANİZE SANAYİ BÖLGESİ SANAYİ CAD. NO.40 YUMURTALIK BURSA;+90 (224) 484-2636;http://www.3skalip.com.tr;3skalip.com.tr
3S METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;23 NİSAN MAH.BÜLENT ECEVİT CAD. A BLOK NO:12/D YUMURTALIK BURSA;+90 (224) 341-0062;http://www.3smetal.com;3smetal.com
4A DAMPER VE EKİPMANLARI MAKİNA METAL KALIP OTOMOTİV DIŞ TİCARET SANAYİ VE TİCARET LTD.ŞTİ.;ORGANİZE SANAYİ BÖLGESİ 29.CADDE NO.59 MELİKGAZİ KAYSERI;+90 (352) 501-0666;http://www.4adamper.com;4adamper.com
4C LOJİSTİK DIŞ TİCARET LTD. ŞTİ.;DELİKLİKAYA SAPANCA CAD. NO:8A ARNAVUTKÖY İSTANBUL;+90 (212) 633-2207;http://www.hmpx-parts.com.tr;hmpx-parts.com.tr
5 M FREN SİSTEMLERİ YEDEK PARÇA İTH.İHR.SAN. VE TİC.LTD.ŞTİ.;BARAKFAKİH MAH. ANKARA CAD. NO:30 16450 BARAKFAKİ KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomotive.com.tr;5mautomotive.com.tr
5 M OTOMOTIV SAN.VE TIC.A.Ş.;BARAKFAKİH MAH. ANKARA CADDE NO.30 KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomative.com;5mautomative.com
9 DERECE ARGE OTOMOTİV SAN. VE TİC. A.Ş.;FATİH MAH. 1198. SOK. NO:4/1B GAZİEMİR İZMİR;+90 (232) 227-3131;http://www.9derece.com;9derece.com
9 EKIM GÜMRÜK MÜŞ.LOJİSTİK DANIŞMANLIK YAYINCILIK TURİZM VE DIŞ TİC LTD ŞTİ;ŞENLIKKÖY MAH.CEVIZLI SOK.16/1 BAKIRKÖY İSTANBUL;+90 (212) 624-4960;http://www.9ekim.com;9ekim.com
A MAKİNE SANAYİ TİCARET İHRACAT İTHALAT LTD.ŞTİ.;MADENLER MAH.1107.SOK.NO:3 YATAĞAN SAN.SİT. YATAĞAN MUĞLA;+90 (252) 572-6669;http://www.amakinesanayi.com;amakinesanayi.com
3 T TEKSTİL SAN. TİC. VE DAN. LTD. ŞTİ.;VEFA REVANI ÇELEBI SOK NO:18/7 Tayin edilmedi İSTANBUL;+90 (212) 512-9003;http://www.3ttekstil.com;3ttekstil.com
3 Y OTOMOTİV SANAYİ VE TİCARET LTD. ŞTİ.;SULTAN ORHAN MH. KOCABETON SANAYİ SİTESİ 2.BLOK NO:21 GEBZE KOCAELI;+90 (262) 642-2440;http://www.3yotomotiv.com;3yotomotiv.com
360 MANAGEMENT DIŞ TİC. A.Ş.;23. NİSAN MAH. ATA BLV. GİZEMLER PLAZA-3 NO:5/23 YUMURTALIK BURSA;+90 (224) 000-0000;http://www.360-management.com;360-management.com
3A ENGİNEERİNG - LEVENT İNAL;Uludağ Üniversitesi Ulutek Teknoloji Geliştirme Merkezi No. 112 YUMURTALIK BURSA;+90 (224) 280-8474;http://3aengineering.eu;3aengineering.eu
3A TEKNİK KALIP SANAYİ VE TİCARET A.Ş.;ATA SB MAH. SÜMBÜL CAD. NO:22 GEMLİK BURSA;+90 (224) 502-6092;http://www.3atechnic.com;3atechnic.com
3E TINY HOUSE KARAVAN SAN. VE TİC.A.Ş.;ZAFER MAH. 2349 SOK. NO:10 ÇOBANLAR İZMİR;+90 (850) 307-9903;http://www.zutinyhouse.com;zutinyhouse.com
3K SÜNGER KUMAŞ VE DÖŞEME MALZ. PAZ. İTH. VE İHR. SAN VE TİC. LTD.ŞTİ;KÜÇÜK BALIKLI MAH. KÜÇÜK BALIKLI CAD. NO:70 OSMANGAZİ BURSA;;http://www.3kmalzeme.com;3kmalzeme.com
3M PREFABRİK İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ;HACI YUSUF MESCİD MAH.ADANA ÇEVRE YOLU CAD.NO:73/1 KARATAY KONYA;+90 (332) 342-1615;http://www.yanelprefabrik.com;yanelprefabrik.com
3M SANAYİ VE TİCARET A.Ş.;BARBAROS MAH. MOR SÜMBÜL SK. NİDAKULE ATAŞEHİR GÜNEY SİT. PODYUM KAPISI APT. NO:7/3F/51 YENİSAHRA ATAŞEHİR İSTANBUL;+90 (216) 538-0505;http://https://www.3m.com.tr;https
3S KALIP APARAT MAKİNA SANAYİ VE TİCARET A.Ş.;HASANAĞA ORGANİZE SANAYİ BÖLGESİ SANAYİ CAD. NO.40 YUMURTALIK BURSA;+90 (224) 484-2636;http://www.3skalip.com.tr;3skalip.com.tr
3S METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;23 NİSAN MAH.BÜLENT ECEVİT CAD. A BLOK NO:12/D YUMURTALIK BURSA;+90 (224) 341-0062;http://www.3smetal.com;3smetal.com
4A DAMPER VE EKİPMANLARI MAKİNA METAL KALIP OTOMOTİV DIŞ TİCARET SANAYİ VE TİCARET LTD.ŞTİ.;ORGANİZE SANAYİ BÖLGESİ 29.CADDE NO.59 MELİKGAZİ KAYSERI;+90 (352) 501-0666;http://www.4adamper.com;4adamper.com
4C LOJİSTİK DIŞ TİCARET LTD. ŞTİ.;DELİKLİKAYA SAPANCA CAD. NO:8A ARNAVUTKÖY İSTANBUL;+90 (212) 633-2207;http://www.hmpx-parts.com.tr;hmpx-parts.com.tr
5 M FREN SİSTEMLERİ YEDEK PARÇA İTH.İHR.SAN. VE TİC.LTD.ŞTİ.;BARAKFAKİH MAH. ANKARA CAD. NO:30 16450 BARAKFAKİ KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomotive.com.tr;5mautomotive.com.tr
5 M OTOMOTIV SAN.VE TIC.A.Ş.;BARAKFAKİH MAH. ANKARA CADDE NO.30 KESTEL BURSA;+90 (224) 411-0680;http://www.5mautomative.com;5mautomative.com
