Sıra No;İl;OSB Adı;Durum;Telefon;E-Posta;Web Sitesi;Adres;Firma Listesi
225;Karabük;Eskipazar;ALTYAPI HAZIRLANIYOR;(370) 412-2078;eskipazar@hotmail.com;www.kemosb.org.tr;Yeşil Mahalle, Atatürk Bülvarı (Valilik Konağı 1. Kat, No 113) - Karabük;
226;Karabük;Karabük;İŞLETMEDE (FAALİYETTE);(370) 412-7679;evrakkayit@karorsan.org.tr;www.karorsan.org.tr;Karabük Osb, Kale Köyü, Osb, Karanfil Sokak No:2 Merkez - Karabük;
227;Karaman;Karaman;İŞLETMEDE (FAALİYETTE);(338) 224-1497;info@karamanosb.org.tr;www.karamanosb.org.tr;Karaman Osb Müdürlüğü 5. Cad. No:32 70100 - Karaman;
228;Karaman;Karaman 2.;PLANLAMA AŞAMASINDA;4446100;ozelkalem@karaman.bel.tr;www.karaman.bel.tr;Karaman Belediyesi, Kirişçi Mahallesi Atatürk Bulvarı No:79;
229;Kars;Kars;İŞLETMEDE (FAALİYETTE);(474) 212-2868;bilgi@karsosb.org.tr;www.karsosb.org.tr;Kars Osb, Cumhuriyet Mah. Şehit Yusufbey Cad. No:20 Merkez - Kars;
230;Kars;Kars İhtisas Besi;İŞLETMEDE (FAALİYETTE);(474) 212-2868;Kars_tdi@hotmail.com;www.karsbesiosb.org.tr;Cumhuriyet Mah. Şehit Yusuf Bey Cad. No:20 Merkez - Kars;
231;Kastamonu;Kastamonu;İŞLETMEDE (FAALİYETTE);(366) 212-7532;osb@kastamonuosb.org.tr;www.kastamonuosb.org.tr;Kastamonu Osb, İnebolu Yolu 18. Km Gelindağı Mevkii, Halime Çavuş Bulvarı, No:3, Aksinir Köyü - Kastamonu;
232;Kastamonu;Kastamonu Araç-İhsangazi;PLANLAMA AŞAMASINDA;03662141074;kaiosb@kastamonuaracihsangaziosb.org.tr;www.kastamonuaracihsangaziosb.org.tr;Hepkebirler Mah. Mah. Mutaflar Çarşısı TSO Binası No:13 Merkez - Kastamonu;
233;Kastamonu;Kastamonu Devrekani TDİ (Besi);ALTYAPI HAZIRLANIYOR;3666383300;devrekanibesiosb@gmail.com;;Kurtşeyh M. Meydan Cad.Belediye Pasajı No:2/Z02 Devrekani - Kastamonu;
234;Kastamonu;Kastamonu Seydiler;İŞLETMEDE (FAALİYETTE);(366) 668-4445;seydilerosb@gmail.com;www.seydilerosb.org.tr;Kastamonu Seydiler Osb, OSB Bölgesi No:1 Seydiler - Kastamonu;
235;Kastamonu;Kastamonu Taşköprü;İŞLETMEDE (FAALİYETTE);(366) 417-1058;kastamonutaskopruosb@gmail.com;www.taskopruosb.gov.tr;Taşköprü Bld. Harmancık Mah. - Muzafferettin Gazi Cad. No:2 Taşköprü - Kastamonu;
236;Kastamonu;Tosya;İŞLETMEDE (FAALİYETTE);(366) 313-0606;info@tosyaosb.com;www.tosyaosb.com;Menderes Cad. No:19-A Tosya - Kastamonu;
237;Kayseri;Erciyes;PLANLAMA AŞAMASINDA;03522451050;erciyesosb@erciyesosb.org.tr;www.erciyesosb.org.tr;Kayseri Sanayi Odası, Alsancak Mahallesi, Kocasinan Bulvarı No:161 Kocasinan - Kayseri;
238;Kayseri;Kayseri;İŞLETMEDE (FAALİYETTE);(352) 321-1100;info@kayseriosb.org;www.kayseriosb.org;Kayseri Osb, 6.Cadde. 22-A 38070 - Melikgazi - Kayseri;
239;Kayseri;Kayseri İncesu;İŞLETMEDE (FAALİYETTE);(352) 698-6590;info@incesuosb.org.tr;www.incesuosb.org.tr;Sultansazı Osb Mahallesi, Osb 1. Cadde No:3 İncesu - Kayseri;
240;Kayseri;Kayseri Kocasinan TDİ(Jeo.Kayn.Sera);ALTYAPI HAZIRLANIYOR;03523366888;genelsekreterlik@kayseritb.org.tr;www.kayseritdiosb.org;Kocasinan OSB, Sanayi Mahallesi, Kocasinan Blv. No:70, 38010 Kocasinan-Kayseri;
241;Kayseri;Kayseri Mimarsinan;İŞLETMEDE (FAALİYETTE);(352) 294-2021;mimarsinanosb@mimarsinanosb.org.tr;www.mimarsinanosb.org.tr;Kayseri Mimar Sinan Osb Mh. 9.Cd. No:18 Melikgazi - Kayseri;
242;Kırıkkale;Balışeyh;KAMULAŞTIRMA YAPILIYOR;(318) 333-5500;muhammet.tumer@meb.gov.tr;;Kırıkkale Valilik Binası, Fabrikalar Mah. Ulubatlı Hasan Cad. (B) Blok Kat:3 Oda :321 Kırıkkale;
243;Kırıkkale;Keskin;İŞLETMEDE (FAALİYETTE);(318) 529-2030;info@keskinosb.org.tr;www.keskinosb.org.tr;Keskin Osb Müdürlüğü, Cankurtaran Cad. No:1 Keskin - Kırıkkale;
244;Kırıkkale;Kırıkkale I;İŞLETMEDE (FAALİYETTE);(318) 321-3130;info@kirikkaleosb.org.tr;www.kirikkaleosb.org.tr;Kırıkkale 1. Osb, Kızılırmak Cd. No:2-1 Yahşiyan - Kırıkkale;
245;Kırıkkale;Kırıkkale Silah Sanayi İhtisas;İŞLETMEDE (FAALİYETTE);(318) 210-1040;info@silahosb.org.tr;www.silahosb.org.tr;Kırıkkale-Kırşehir Yolu Üzeri Silah OSB, 1. Sokak No:2 - Kırıkkale;
246;Kırklareli;Büyükkarıştıran;İŞLETMEDE (FAALİYETTE);(288) 436-2002;buyukkaristiranosb@gmail.com;www.buyukkaristiranosb.org.tr;Yeni Mahalle, Kervan Sok No:8-2 Büyükkarıştıran-Lüleburgaz - Kırklareli;
247;Kırklareli;Evrensekiz;İŞLETMEDE (FAALİYETTE);(288) 443-8080;evrensekizosb@hotmail.com;www.evrensekizosb.org.tr;Evrensekiz Beldesi, Gündoğu Mahallesi, Derman Sokak, No:1 Lüleburgaz - Kırklareli;
248;Kırklareli;Kırklareli;İŞLETMEDE (FAALİYETTE);(288) 263-4258;info@kirklareliosb.org.tr;www.kirklareliosb.org.tr;Kırklareli Osb, 1.Cad. No:4/1, Kızılcıkdere Köyü Mevkii (39100) Merkez - Kırklareli;
249;Kırklareli;Kırklareli Kavaklı TDİ (Süt);PLANLAMA AŞAMASINDA;02882141214;info@osbuk.org.tr;;Kırklareli İl Özel İdaresi, Karakaş Mahallesi 100.Yıl Caddesi No:25, Merkez - Kırklareli;
250;Kırklareli;Pagder-Aslan Plastikçiler İhtisas ( ÖZEL );ALTYAPI HAZIRLANIYOR;(212) 438-5841;paosb@paosb.org;www.paosb.org;Oruç Reis Mah. Vadi Cad. İstanbul Ticaret Sarayı Kat :5 No:338 Giyimkent Esenler / İstanbul;
251;Kırşehir;Kaman;İŞLETMEDE (FAALİYETTE);(386) 712-2500;osbkaman@gmail.com;;Kaman Kaymakamlığı, Atatürk Cad. No. 23/1 (3. Kat) Kaman - KIRŞEHİR;
252;Kırşehir;Kırşehir;İŞLETMEDE (FAALİYETTE);(386) 212-3451;info@kirsehirosb.gov.tr;www.kirsehirosb.gov.tr;Terme Caddesi No: 25 Osb - Kırşehir;
253;Kırşehir;Mucur;PLANLAMA AŞAMASINDA;(386) 812-4245;kaymakamlikmucur@hotmail.com;www.mucurosb.com.tr;Mucur OSB, Milli Egemenlik Cad. No 10 Mucur - Kırşehir;
254;Kilis;Kilis;İŞLETMEDE (FAALİYETTE);(348) 834-1114;info@kilisosb.org.tr;www.kilisosb.org.tr;Kilis Osb. Osb 18 Nolu Cad. No:10 Merkez - Kilis;
255;Kilis;Kilis Polateli Şahinbey;İŞLETMEDE (FAALİYETTE);05451277900;kilistso@tobb.org.tr;www.kilispolateliosb.org.tr;Yeşilpınar Mah. Güldüzü Mevkii, 31 Nolu Sokak, No:4/1, 79000 Polateli - Kilis;
256;Kocaeli;Asım Kibar;İŞLETMEDE (FAALİYETTE);(262) 324-8062;info@akosb.com.tr;www.akosb.com.tr;Asım Kibar OSB, 1. Cad No:3 Pk:41310 İzmit - Kocaeli;
257;Kocaeli;Gebze;İŞLETMEDE (FAALİYETTE);(262) 648-4848;info@gosb.com.tr;www.gosb.com.tr;Gosb Yönetim Merkezi Ve Sosyal Tesisleri Şahabettin Bilgisu Caddesi No:605 Gebze - Kocaeli;YAPILDI
258;Kocaeli;Global Karma;İŞLETMEDE (FAALİYETTE);(262) 754-1111;info@globalosb.org.tr;www.globalosb.org.tr;Global Karma OSB Mah. Refik Oral Cad. No:11 Dilovası - Kocaeli;
259;Kocaeli;Kandıra Gıda İhtisas;İŞLETMEDE (FAALİYETTE);(262) 313-0015;info@kandiragiosb.org.tr;www.kandiragiosb.org.tr;Kocakaymas Mahallesi, Eski Kandıra Caddesi No:30-1 Kandıra - Kocaeli;
260;Kocaeli;Kocaeli Alikahya;İŞLETMEDE (FAALİYETTE);(262) 365-1818;info@kaosb.org.tr;www.kaosb.org.tr;Kocaeli Alikahya Osb, Alikahya Osb Mahallesi 106. Sokak No: 3 - 41310 İzmit - Kocaeli;
261;Kocaeli;Kocaeli Arslanbey;İŞLETMEDE (FAALİYETTE);(262) 351-2393;info@arslanbeyosb.org;www.arslanbeyosb.org;Arslanbey Osb Mah. 1. Cad. - No: 2 Kartepe - Kocaeli;
262;Kocaeli;Kocaeli Gebze Dilovası;İŞLETMEDE (FAALİYETTE);(262) 754-9168;info@dosb.com.tr;www.dosb.com.tr;Kocaeli Gebze Dilovası Osb 1. Kısım, Tuna Cad. No:4 Dilovası - Kocaeli;
263;Kocaeli;Kocaeli Gebze Güzeller;İŞLETMEDE (FAALİYETTE);(262) 751-2150;info@ggosb.com.tr;www.ggosb.com.tr;Gebze Güzeller Osb, İnönü Mah, Aşık Veysel Sok. No:1 41400 Gebze - Kocaeli;
264;Kocaeli;Kocaeli Gebze Plastikçiler;İŞLETMEDE (FAALİYETTE);(262) 751-1033;geposb@geposb.com.tr;www.geposb.com.tr;Gebze Plastikçiler Osb, İnönü Mah. Gebze Plastikçiler Osb Mah. Atatürk Bulvarı No:1 Gebze - Kocaeli;
265;Kocaeli;Kocaeli Gebze V(kimya) İhtisas;İŞLETMEDE (FAALİYETTE);(262) 754-0777;gebkim@gebkim.org.tr;www.gebkim.org.tr;Gebkim Osb Yönetim Merkezi, Şafak Türkay Cad., No:2-1 41455 Çerkeşli Köyü, Dilovası - Kocaeli;
266;Kocaeli;Kocaeli Gebze VI(İMES)Makine İhtisas;İŞLETMEDE (FAALİYETTE);(262) 722-9191;yonetim@imesosb.org;www.imesdilovasi.org;Kocaeli - Gebze Vı. (İmes) OSB Müdürlüğü, Çerkeşli OSB Mah. İMES-1 Bulvarı No:2 Dilovası - KOCAELİ;
267;Kocaeli;Kocaeli Kobi;İŞLETMEDE (FAALİYETTE);(262) 502-8311;info@kocaelikobiosb.org.tr;www.kocaelikobiosb.org.tr;Kocaeli Kobi Osb, Köseler Mah. 3. Cad. No:17 Dilovası - Kocaeli;
268;Kocaeli;Makine İhtisas;İŞLETMEDE (FAALİYETTE);(262) 722-9022;info@makineosb.org.tr;www.makineosb.org.tr;Demirciler Köyü , 6. Cadde No:8 (41455) Dilovası - Kocaeli;
269;Kocaeli;TOSB Otomotiv Tedarik Sanayi İhtisas;İŞLETMEDE (FAALİYETTE);(262) 679-1000;info@tosb.com.tr;www.tosb.com.tr;Tosb Osb Mdr. 1.Cadde No:10, Pk: 41420, Şekerpınar - Çayırova - Kocaeli;
270;Konya;Akşehir;İŞLETMEDE (FAALİYETTE);(332) 812-9346;info@aksehirosb.org.tr;www.aksehirosb.org.tr;Hükümet Caddesi No:10 42550 - Akşehir - Konya;
271;Konya;Akşehir Gıda İhtisas;PLANLAMA AŞAMASINDA;(332) 812-9346;info@aksehirgidaihtisasosb.org.tr;www.aksehirgidaihtisasosb.org.tr;Selçuk mah. 32810 Sk. No:10 Akşehir - Konya;
272;Konya;Beyşehir;İŞLETMEDE (FAALİYETTE);(332) 512-9341;beysehirosb@hotmail.com;www.beysehirosb.org;Beyşehir Yeni Belediye İş Merkezi K:2 N:202 Beyşehir - Konya;
273;Konya;Çumra;İŞLETMEDE (FAALİYETTE);0332 447 46 12;bilgi@cumraosb.org.tr;www.cumraosb.org.tr;Çumra OSB, İstiklal OSB Mahallesi 77762. Sokak No:4 Çumra - KONYA;
274;Konya;Karapınar;İŞLETMEDE (FAALİYETTE);05393020550;info@karapinarosb.org.tr;www.karapinarosb.org.tr;Karapınar OSB, İpekçi Mahallesi Anadolu Cad. No:1 Karapınar - KONYA;
275;Konya;Konya;İŞLETMEDE (FAALİYETTE);(332) 999-1444;info@kos.org.tr;www.kos.org.tr;Büyük Kayacık Mah. Evrenköy Caddesi No:12 42250 Selçuklu - Konya;YAPILDI
276;Konya;Konya Birinci;İŞLETMEDE (FAALİYETTE);(332) 251-9300;kosb@kosb.org.tr;www.kosb.org.tr;"Konya 1. Osb Bölge Müdürlüğü ; Horozluhan Mah. İstikamet Cd. No:37 42060 Selçuklu - Konya";
277;Konya;Konya Ereğli;İŞLETMEDE (FAALİYETTE);(332) 717-0056;konyaeregliosb@hotmail.com;www.konyaeregliosb.org;Kargacı Mah. Organize Sanayi Bölgesi, Konya Yolu 10. Km 1.Cad. No:6 Ereğli - Konya;
278;Konya;Konya-Ilgın;PLANLAMA AŞAMASINDA;(544) 325-9910;ilginosb@gmail.com;www.ilginosb.org;(Ilgın Bld. Bşk.) Ayvatdede Mah. Muhsin Yazıcıoğlu Cad. No:71 Ilgın - Konya;
279;Konya;Kulu;ALTYAPI HAZIRLANIYOR;(332) 641-6530;kuluimar@kulu.bel.tr;www.kuluosb.org.tr;Kulu Belediye Başkanlığı, Camikebir Mah. Cumhuriyet Meydanı No:1-1-201 - Kulu - Konya;
280;Konya;Sarayönü;ALTYAPI HAZIRLANIYOR;444-0570;mscakici@sarayonuosb.org.tr;www.sarayonuosb.org.tr;Doğu İstasyon mah. Nezir Büyükcengiz Caddesi No:1 Sarayönü - Konya;
281;Konya;Seydişehir;İŞLETMEDE (FAALİYETTE);(332) 582-3428;seydisehir@seydisehirosb.org;www.seydisehirosb.org;Seydişehir Belediye Binası, Hacı Seyitali Mahallesi, Mevlana Cad. No:3 42002 Seydişehir - Konya;
282;Kütahya;Gediz;İŞLETMEDE (FAALİYETTE);(274) 457-5150;gedizosb@gmail.com;www.gedizosb.org.tr;Gediz Uşak Karayolu 5. Km Gediz - Kütahya;
283;Kütahya;Kütahya;İŞLETMEDE (FAALİYETTE);(274) 266-2146;kutahyaosb@kutahyaosb.org.tr;www.kutahyaosb.org.tr;"Kütahya 1. Organize Sanayi Bölgesi ; Nafi Güral Caddesi, No:3, Merkez - Kütahya";
284;Kütahya;Kütahya 30 Ağustos;İŞLETMEDE (FAALİYETTE);(274) 220-0018;info@30agustososb.org.tr;www.30agustososb.org.tr;Kütahya Merkez 2. Osb Müdürlüğü Hizmet Binası, (Kütahya Eskişehir Yolu 7Km.) Çalca Osb Mahallesi - 2.Cadde - No:7 Merkez - Kütahya;
285;Kütahya;Kütahya Altıntaş Zafer;İŞLETMEDE (FAALİYETTE);02742236333;info@zaferosb.com.tr;www.zaferosb.com.tr;Zafer OSB, (İl özel İdaresi), Yenidoğan Mahallesi, Dumlupınar Bulvarı, No:111 Merkez - Kütahya;
286;Kütahya;Kütahya Seramik;İŞLETMEDE (FAALİYETTE);(274) 225-1200;info@kutahyaseramikosb.com.tr;www.kutahyaseramikosb.com.tr;Çalca Mah. Ramazan Özen Cad. No:41 Merkez / Kütahya;
287;Kütahya;Kütahya Simav TDİ(Jeo. Kayn. Sera);ALTYAPI HAZIRLANIYOR;(274) 271-3482;bilgi@simavtdiosb.org.tr;www.simavtdiosb.org.tr;Fatih Mahallesi Kışla Caddesi No:87(Simav Kaymakamlığı) Simav/KÜTAHYA;
288;Kütahya;Kütahya Tavşanlı;İŞLETMEDE (FAALİYETTE);(274) 615-3745;info@tavsanliosb.org;www.tavsanliosb.org.tr;Çobanköy Mevkii 8.Cad. No:2 Organize Sanayi Bölge Müdürlüğü Binası Tavşanlı - Kütahya;
289;Malatya;Darende;İŞLETMEDE (FAALİYETTE);(422) 238-5537;yalinozalit@hotmail.com;www.darendeosb.org.tr;Sn. Ahmet Levent Aksoğan, Malatya II.Osb Müdürlüğü - 2. Osb Mah. 1. Cad. No:1 Yeşilyurt- Malatya;
290;Malatya;Malatya (Besi) TDİ;ALTYAPI HAZIRLANIYOR;4227514212;malatya@tuketbir.org.tr;www.ybosb.org.tr;Yazıhan Hükümet Konağı, (TDİOSB) Yeni Mahalle, 6.Sokak, No:10, İç Kapı :01 / Yazıhan - MALATYA;
291;Malatya;Malatya II.;İŞLETMEDE (FAALİYETTE);(422) 244-0003;bilgi@malatyaosb.org.tr;www.malatyaosb.org.tr;Malatya Iı.Osb Müdürlüğü - 2. Osb Mah. 1. Cad. No:1 Yeşilyurt- Malatya;
292;Malatya;Malatya Merkez I.;İŞLETMEDE (FAALİYETTE);(422) 237-5150;bilgi@malorsa.org.tr;www.malorsa.org.tr;Kayseri Malatya Yolu, I.Osb Girişi, 44900 - Malatya;
293;Malatya;Malatya Yazıhan (Sera) TDİ;PLANLAMA AŞAMASINDA;(422) 751-4054;info@yazihan.bel.tr;;Malatya Sera Tdiosb, Yazıhan Belediyesi, Gayret Mah. No:2 Yazıhan - Malatya;
294;Manisa;Akhisar;İŞLETMEDE (FAALİYETTE);(236) 412-8719;info@akhisarosb.org.tr;www.akhisarosb.org.tr;Akhisar OSB Bölgesi, Kayalıoğlu Mah, 10.Cd., No:16 (45230) Akhisar - Manisa;
295;Manisa;Akhisar Zeytin ve Zeytinyağı ve Türevleri İhtisas;İŞLETMEDE (FAALİYETTE);5303713845;zeytinosb@gmail.com;www.akhisarzeytinosb.org.tr;Süleymanlı OSB Mah. Hasanpaşalı Cad. No:7 Akhisar - Manisa;
296;Manisa;Demirci;PLANLAMA AŞAMASINDA;2364621301;demirci@icisleri.gov.tr;www.demirciosb.org.tr;Demirci Kaymakamlığı,Secaattin Mahallesi, Üniversite Caddesi, No:35 Demirci - Manisa;
297;Manisa;Kula Deri İhtisas ve Karma;ALTYAPI HAZIRLANIYOR;(236) 816-3643;kulaosb@hotmail.com;www.kulaosb.org;Cami Cedit Mh.Yunus Emre Cd.100 Yıl, Kat:2 No:97 Kula - Manisa;
298;Manisa;Manisa;İŞLETMEDE (FAALİYETTE);(236) 233-1816;mosb@mosb.org.tr;www.mosb.org.tr;Cumhuriyet Blv. No:14, Keçiliköy OSB Mahallesi, 45030 Yunusemre - Manisa;
299;Manisa;Manisa Salihli Jeotermal Kaynaklı Sera TDİOSB;KAMULAŞTIRMA YAPILIYOR;(236) 714-5342;bilgi@salihliotb.org.tr;www.salihliotb.org.tr;Salihli Ticaret ve Sanayi Odası, Eski Cami Mahallesi 15. Sokak No:2 Salihli - Manisa;
300;Manisa;Manisa Turgutlu I.;İŞLETMEDE (FAALİYETTE);(236) 314-6969;turgutlu@turgutluosb.org.tr;www.turgutluosb.org.tr;"Selvilitepe Osb Mah.; Tic. Ve San. Odası Blv.. No:13 Turgutlu - Manisa";
301;Manisa;Muradiye;İŞLETMEDE (FAALİYETTE);(266) 412-0766;info@muosb.org.tr;www.muosb.org.tr;Muradiye Mahallesi 3 OSB Sokak No:1 Yunusemre / MANİSA;
302;Manisa;Salihli;İŞLETMEDE (FAALİYETTE);(236) 713-9709;salihliosb@salihliosb.org.tr;www.salihliosb.org.tr;Salihli OSB Mahallesi, Organize sanayi Bulvarı, No : 1 (45300) Salihli - Manisa;
303;Manisa;Soma;İŞLETMEDE (FAALİYETTE);(236) 613-1028;bilgi@somaosb.org.tr;www.somaosb.org.tr;Kurtuluş Mah. Cengiz Topel Mey. No:8 Soma - Manisa;
304;Mardin;Mardin;İŞLETMEDE (FAALİYETTE);(482) 215-1114;osbmardin@hotmail.com;www.mardinosb.org.tr;Mardin Osb Müdürlüğü, Ofis Osb Mah. 24. Sk. No:2 47100 - Artuklu - Mardin;
305;Mardin;Mardin 2’nci;İŞLETMEDE (FAALİYETTE);(482) 213-1323;info@mardin2osb.org.tr;www.mardin2osb.org.tr;13 Mart Mahallesi Vali Mustafa Yaman Caddesi Artuklu İş Merkezi Kat:6 No:12 Artuklu - Mardin;
306;Mardin;Mardin Midyat;PLANLAMA AŞAMASINDA;(482) 212-1653;mardin.midyat.osb@gmail.com;;Cumhuriyet Bulvarı No:54 Kaymakamlık Hizmet Binası,47510 Midyat - MARDİN;
307;Mersin;Anamur;KAMULAŞTIRMA YAPILIYOR;03248141115;anamurosb@gmail.com;www.anamurosb.org.tr;Anamur Belediyesi, Yeşilyurt Mahallesi, 29 Ekim Caddesi No:9 Anamur - Mersin;
308;Mersin;Mersin;İŞLETMEDE (FAALİYETTE);(324) 676-4242;info@mtosb.org.tr;www.mtosb.org.tr;Nacarlı Osb Mah. 3 Cad. No:2 Pk:1 Akdeniz - Mersin;
309;Mersin;Mersin Erdemli;KAMULAŞTIRMA YAPILIYOR;4445609/2233;bilgi@erdemli.bel.tr;;Merkez Mahallesi Hal Caddesi No:18 (imar ve şehircilik müdürlüğü) Mersin - Erdemli;
310;Mersin;Mut;İŞLETMEDE (FAALİYETTE);(324) 774-2773;iletisim@mutosb.org;www.mutosb.org;Mut OSB, Meydan Mah, Kıyı Soka, No:2 MUT-MERSİN;
311;Mersin;Silifke;İŞLETMEDE (FAALİYETTE);(324) 714-0005;info@silifkeosb.org.tr;www.silifkeosb.org.tr;Silifke OSB 1. Cad No:13 Silifke - Mersin;
312;Mersin;Tarsus;İŞLETMEDE (FAALİYETTE);(324) 616-3346;bilgi@tarsusosb.org.tr;www.tarsusosb.org.tr;Tarsus TSO Binası Kat 4, Şehitkerim Mahallesi, 3416 Sokak No:39-201, Tarsus - Mersin;
313;Mersin;TÜİOSB Gıda İhtisas ve Karma;ALTYAPI HAZIRLANIYOR;(324) 342-1033;info@tuiosb.org.tr;www.tuiosb.org;Tarsus Tarımsal Ürün İşleme İhtisas Osb, Yeni Mahalle 5302 Sk. Port Plus Large No:3-12 Akdeniz - Mersin;
314;Muğla;Milas;İŞLETMEDE (FAALİYETTE);(252) 512-3747;info@milasosb.org.tr;www.milasosb.org.tr;MİTSO Binası, Hayıtlı Mahallesi, 23 Nisan Bulvarı, No: 172 Milas - Muğla;
315;Muğla;Muğla Seydikemer TDİ (Süt);PLANLAMA AŞAMASINDA;05365678953;tttokmak@hotmail.com;;Cumhuriyet Mah, Demokrasi Meydanı, Eski kaymakamlık hizmet binası, Kat:2: - No:22 Seydikemer - Muğla;
316;Muş;Muş;İŞLETMEDE (FAALİYETTE);(436) 212-9874;musorganizesanayi@gmail.com;www.musosb.com;Muş Osb, Bitlis Yolu, Eski Tekel Binası - Muş;
317;Nevşehir;Nevşehir;İŞLETMEDE (FAALİYETTE);(384) 213-1036;muhasebe@nevsehirosb.org;www.nevsehirosb.org;Nevşehir Aksaray Karayolu 10. Km. Merkez - Nevşehir;
318;Nevşehir;Nevşehir Acıgöl;İŞLETMEDE (FAALİYETTE);(384) 311-2002;mcicek46@hotmail.com;www.acigolosb.org;Yukarı Mah. Belediye Cad. No:51 (50140) Acıgöl - Nevşehir;
319;Nevşehir;Nevşehir Avanos Kapadokya;KAMULAŞTIRMA YAPILIYOR;03842131036;nevsehirtso@tobb.org.tr;www.avanoskapadokyaosb.org;Kapucubaşı Mahallesi, Millet Caddesi, No:69 Merkez - Nevşehir;
320;Nevşehir;Nevşehir Kozaklı TDİ (Jeo.Kayn.Sera);PLANLAMA AŞAMASINDA;3842131036;nevsehirtdiosb@gmail.com;www.nevsehirtdiosb.org.tr;Kozaklı TDİOSB, Kapucubaşı Mah. Millet Cad. No:69 Merkez - Nevşehir;
321;Niğde;Niğde;İŞLETMEDE (FAALİYETTE);(388) 225-0171;info@nigdeosb.com;www.nigdeosb.com;Niğde Osb, Niğde - Bor Karayolu 7. Km. -8. Cadde No: 7 - Niğde;
322;Niğde;Niğde Bor Karma ve Deri İhtisas;İŞLETMEDE (FAALİYETTE);388315-0001;borkarmaosb@gmail.com;www.borosb.org.tr;Niğde Bor Osb, Ankara Asfaltı 9. Km. 51700 Bor - Niğde;
323;Niğde;Niğde II.;PLANLAMA AŞAMASINDA;3882803375;stmniinfo@n2osb.org.tr;;Aşağı Kayabaşı Mah. Feridun Zeren Cad. Niğde Valiliği Hizmet Binası 51200 Merkez- Niğde;
324;Niğde;Niğde-Bor  TDİ (Besi);ALTYAPI HAZIRLANIYOR;3883117115;nigde@icisleri.gov.tr;;Belediye Binası, Soku Başı Mahallesi, Şeyh Ahmet Kuddusi Cad no:31 / Kat:2 Bor - Niğde;
325;Ordu;Fatsa;İŞLETMEDE (FAALİYETTE);4240099;fatsaosb@hotmail.com;www.fatsaosb.com.tr;Fatsa Organize Sanayi, Osb Mahallesi, 101. Sokak, No:79 - Fatsa - Ordu;
326;Ordu;Ordu;İŞLETMEDE (FAALİYETTE);(452) 234-7575;info@orduosb.com;www.orduosb.com;Ordu Osb, Karapınar Mahallesi, Organize Sanayi Bölge Müdürlüğü 1162 Nolu Sok No:1 Altınordu - Ordu;
327;Ordu;Ordu 2’nci;PLANLAMA AŞAMASINDA;(452) 666-2060;orduosb2@hotmail.com;www.ordu2osb.org.tr;Bahçelievler mahallesi, 295 sokak, Ordu TSO, Hizmet Binası (Kat 1) Altınordu - Ordu;
328;Ordu;Ordu Ünye;İŞLETMEDE (FAALİYETTE);(452) 323-1753;unyeosb@hotmail.com;www.unyeosb.org.tr;Ordu Ünye Osb, Liseler Mah. Devlet Sahilyolu No:357 52300 Ünye - Ordu;
329;Osmaniye;Düziçi Karma;PLANLAMA AŞAMASINDA;3288761700;info@osbuk.org.tr;www.duziciosb.org;Düziçi Kaymakamlığı, Hürriyet Mah. Uzman Jandarma Çavuş Ali Gökçe No:1/A Düziçi - Osmaniye;
330;Osmaniye;Kadirli;İŞLETMEDE (FAALİYETTE);(328) 739-2009;kadirliosb@hotmail.com;www.kadirliosb.org;Kadirli OSB, Yusufizzettin Köyü - Cadde : 1 No: 14 (80750) Kadirli - Osmaniye;
331;Osmaniye;Osmaniye;İŞLETMEDE (FAALİYETTE);(328) 826-8592;oosb@oosb.org.tr;www.oosb.org.tr;Büyüktüysüz Mah. E.Ayhan Tosyalı Cad.No:20 Toprakkale - Osmaniye;
332;Osmaniye;Sumbas Karma;PLANLAMA AŞAMASINDA;(328) 784-8366;sumbasosb@sumbasosb.org.tr;www.sumbasosb.org.tr;Sumbas OSB, Yeni Kaymakamlık Binası, Hükümet Cad. Kat :2 Sumbas - Osmaniye;
333;Rize;Rize;İŞLETMEDE (FAALİYETTE);(464) 300-0001;info@rizeosb.com.tr;www.rizeosb.com.tr;Organize Sanayi Bölgesi, 2 Nolu Cadde, No:6, Aksu Osb Mahallesi, Kalkandere - Rize;
334;Rize;Rize Ardeşen;KAMULAŞTIRMA YAPILIYOR;(464) 715-3524;mustafaon64@hotmail.com;;Ardeşen Ticaret Ve Sanayi Odası - Rize;
335;Sakarya;Ferizli;İŞLETMEDE (FAALİYETTE);(264) 781-3010;info@ferizliosb.org.tr;www.ferizliosb.org.tr;Ferizli Osb Mahallesi, Adapazarı-Karasu Karayolu Üzeri, 1. Cad., No:2 54110 Ferizli - Sakarya;
336;Sakarya;Karasu;İŞLETMEDE (FAALİYETTE);(264) 718-8323;karasuosb@hotmail.com;www.karasuosb.org.tr;Kabakoz OSB Mah. OSB Küme Evleri No:8/1 Karasu - SAKARYA;
337;Sakarya;Kaynarca Mobilya İhtisas;İŞLETMEDE (FAALİYETTE);(264) 871-4141;kamosb@kamosb.org.tr;www.kamosb.org.tr;Hükümet Konağı, Kat:3 Kaynarca - Sakarya;
338;Sakarya;Sakarya I;İŞLETMEDE (FAALİYETTE);(264) 276-6750;sosb@sosb.org.tr;www.sosb.org.tr;Sakarya 1. Osb Müdürlüğü, Sakarya Mah. Şeh.Kom.Onb.Zekeriya Gözyuman Cad. No:121 54580 Arifiye-Sakarya;
