Firma Adı;Şehir;İlçe;Sektör;Telefon;Faks;E-Posta;Web Sitesi;Domain;Adres
KATMERCİLER ARAÇ ÜSTÜ EKİPMAN SAN.VE TİC. A.Ş.;İZMİR;ÇİĞLİ;Özel amaçli motorlu kara tasitlarinin imalati (amf;(232) 376 75 75;3767581;info@katmerciler.com.tr;http://www.katmerciler.com.tr;katmerciler.com.tr;10.032 SOKAK NO.10  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KATMERCİLER ARAÇ ÜSTÜ EKİPMAN SAN.VE TİC. A.Ş.;İZMİR;ÇİĞLİ;Özel amaçli motorlu kara tasitlarinin imalati (amf;(232) 376 75 75;3767581;info@katmerciler.com.tr;http://www.katmerciler.com.tr;katmerciler.com.tr;10.032 SOKAK NO.8 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KATMERCİLER PROFİL SANAYİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;Motorlu kara tasitlarinin karoser ve kaporta onari;(232) 376 75 75;3767581;info@katmerciler.com.tr;www.katmerciler.com.tr;katmerciler.com.tr;10.032 SOKAK NO.10  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KATSAN KATGÜT SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 486 09 10;4863379;info@katsanas.com;http://www.katsanas.com;katsanas.com;10.041 SOKAK NO.22 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KATSAN TIBBİ CİHAZLAR SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 486 09 10;4860910;muhasebe@katsanas.com;http://;;10.041 SOKAK NO.22 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KAYA GRUP LAZER NAKIŞ MAKİNALARI VE YEDEK PARÇALARI SAN.VE.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Tül ve diger ag kumaslarin (dokuma, örgü (triko) v;(232) 431 15 25;4311525;burcu.kayaa@hotmail.com;;;10.028 SOKAK NO:6 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KAYA GRUP LAZER NAKIŞ MAKİNALARI VE YEDEK PARÇALARI SAN.VE.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Sogutma ve havalandirma donanimlarinin imalati, ev;(232) 431 15 25;;burcu.kayaa@hotmail.com;http://kayamakine.net;kayamakine.net;10.029 SOKAK NO.6 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KEMP MOTOR SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 328 23 16;3768131;info@kem-p.com;http://www.kem-p.com;kem-p.com;M.KEMAL ATATÜRK BUL. NO.49 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KERMES TARIM ÜRÜNLERI SAN.VE DIS TIC.LTD.STI.;İZMİR;ÇİĞLİ;Kavrulmus, tuzlanmis vb. sekilde islem görmüs sert;(232) 376 75 62;3767564;info@kermes.com.tr;www.kermes.com.tr;kermes.com.tr;10.016 SOKAK NO:33  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KG ARAÇ EKİPMANLARI SAN.TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 472 08 20;;siparis@kartektr.com;https://kartekaydinlatma.com.tr;kartekaydinlatma.com.tr;10.000 SOKAK NO:10 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KISMET SÖZER;İZMİR;ÇİĞLİ;;;;;;;10.022 SOKAK NO:10   ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KIYMET TACAR/SABRİ TACAR/ŞÜKRAN TACAR/ZEYNEP TACAR İLTER/ELİF TACAR;İZMİR;ÇİĞLİ;Eglence ve sportif amaçli motorlu/motorsuz yelkenl;(232) 365 80 69;3654649;tacarboat@tacarboat.com;http://www.tacarboat.com;tacarboat.com;10.002 SOKAK NO.36 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KIYMET TACAR/SABRİ TACAR/ŞÜKRAN TACAR/ZEYNEP TACAR İLTER/ELİF TACAR;İZMİR;ÇİĞLİ;Eglence ve sportif amaçli motorlu/motorsuz yelkenl;(232) 365 80 69;3654649;tacarboat@tacarboat.com;http://www.tacarboat.com;tacarboat.com;M.KEMAL ATATÜRK BUL. NO.31 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KİMMET KİMYA VE METAL SANAYİ A.Ş.;İZMİR;ÇİĞLİ;Merkezi isitma radyatörleri imalati (elektrikli ra;(232) 376 72 07;3767209;info@maktek.com.tr;www.maktek.com.tr;maktek.com.tr;10.008 SOKAK NO.9 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KLAS ISITMA SOĞUTMA KLİMA SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Iklimlendirme cihazlarinin (klimalar) imalati (mot;(232) 328 10 00;3281080;email@kls.com.tr;http://www.kls.com.tr;kls.com.tr;M.KEMAL ATATÜRK BUL. NO.46 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KLAS ISITMA SOĞUTMA KLİMA SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Iklimlendirme cihazlarinin (klimalar) imalati (mot;(232) 328 10 00;3281080;info@klsklima.com.tr;http://www.klsklima.com.tr;klsklima.com.tr;10.008 SOKAK NO.3 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KLAS ISITMA SOĞUTMA KLİMA SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Iklimlendirme cihazlarinin (klimalar) imalati (mot;(232) 328 10 00;3281080;info@klsklima.com.tr;http://www.klsklima.com.tr;klsklima.com.tr;10.008 SOKAK NO.5 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KONSAN BİLİŞİM VE MAKİNE SAN. VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 328 31 41;3283144;;http://www.konsantech.com;konsantech.com;10.016 SOKAK NO:70 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KONSAN İÇ VE DIŞ TİCARET LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 328 31 41;3283144;info@konsan.tech;http://www.konsantech.com;konsantech.com;10.016 SOKAK NO:70 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KONTROL KİMYA İLAÇ MAKİNE İNŞ.SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Diger zirai kimyasal ürünlerin imalati (gübre ve a;(232) 328 27 48;3282749;kontrol@kontrol.com.tr;;;10.040 SOKAK NO.21  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KORDON GAYRİMENKUL YATIRIMI A.Ş.;İZMİR;ÇİĞLİ;;(212) 866 66 66;(212) 866 66 00;;http://;;10.039 SOKAK NO:14 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KORDON GAYRİMENKUL YATIRIMI A.Ş.;İZMİR;ÇİĞLİ;;(212) 866 66 66;(212) 866 66 00;;http://;;10.036 SOKAK NO.9 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KORDON TIP SAĞLIK ARAÇ VE GEREÇLERİ İTHALAT SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Tibbi, cerrahi veya laboratuvar sterilizasyon alet;(232) 348 60 60;3486090;info@kordontip.com;http://www.kordontip.com;kordontip.com;10.006/1 SOKAK NO.43    ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KORDON TURİZM TİCARET LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 463 49 02;4643186;info@egetav.com.tr;http://;;M.KEMAL ATATÜRK BUL. NO.72 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KORHAN KALKAN;İZMİR;ÇİĞLİ;Kağıt veya mukavvadan etiketlerin imalatı;(232) 328 18 11;;korhankalkan@gmail.com;;;10.040 SOKAK NO. 13 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KUANTUM ÖZEL SAĞLIK HİZMETLERİ VE MALZEMELERİ ARAŞTIRMA DANIŞMANLIK SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 328 35 30;3283534;kuantumhq@kuantum-cro.com;http://www.kuantum-cro.com;kuantum-cro.com;10.001 SOKAK NO:24    ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KUANTUM ÖZEL SAĞLIK HİZMETLERİ VE MALZEMELERİ ARAŞTIRMA DANIŞMANLIK SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 328 35 30;3283534;kuantumhq@kuantum-cro.com;http://www.kuantum-cro.com;kuantum-cro.com;10.053 SOKAK NO.7 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KULSAN KULOĞLU NAKIŞ SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Tül ve diger ag kumaslarin (dokuma, örgü (triko) v;(232) 251 13 65;2511368;;;;10.026 SOKAK NO.30 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KUTLUKAYA ÇELİK KONSTRÜKSİYON SAN VE TİC LTD.ŞTİ.;İZMİR;ÇİĞLİ;Ikamet amaçli binalarin insaati (müstakil konutlar;(232) 421 97 15;4219500;bilgi@kutlukaya.com;www.kutlukaya.com;kutlukaya.com;10.032 SOKAK NO.21 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
KÜÇÜKBAY YAĞ VE DETARJAN SAN.A.Ş.;İZMİR;ÇİĞLİ;;(232) 388 25 57;3883812;info@orkide.com.tr;http://www.orkide.com.tr;orkide.com.tr;M.KEMAL ATATÜRK BUL. NO.63 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
LATEKSAN KAUÇUK SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Kauçuktan hijyenik ve eczacilik ürünlerinin imalat;(232) 376 84 85;3768487;;www.lateksan.net;lateksan.net;10.007 SOKAK NO.26 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
LEA İNŞAAT TURİZM SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 376 74 08;3767628;;;;10.042 SOKAK NO.8  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
LEONE GIDA SAN.TİC.A.Ş.;İZMİR;ÇİĞLİ;; ;;info@leone-tr.com;http://www.leone-tr.com;leone-tr.com;10.022 SOKAK NO.3  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
LİBAL MAKİNA OTOMAT SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 376 88 74;3280174;libal@libalmakina.com;http://www.libalmakina.com;libalmakina.com;10.041 SOKAK NO.15  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
LİDER DERİ ÜRÜNLERI SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Deri giyim esyasi imalati (deri karisimli olanlar ;(232) 376 81 97;3768073;muhasebe@liderderi.com;www.liderderi.com;liderderi.com;M.KEMAL ATATÜRK BUL. NO.62 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
LÖHER TURİZM TEKNİK ASANSÖR SAN.VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;Asansörlerin, yürüyen merdivenlerin, yürüyen yolla;(232) 376 71 25;;idari@lohertta.com.tr;http://https://lhrasansor.com.tr;https;10.029 SOKAK NO.6 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
LUNA ELEKTRİK ELEKTRONİK SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 472 15 45;4721550;info.tr@landisgyr.com;www.lunatr.com;lunatr.com;10.039 SOKAK NO:23 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
LUNA ELEKTRİK ELEKTRONİK SAN.VE.TİC.A.Ş. SMART L ŞUBESİ;İZMİR;ÇİĞLİ;Ölçme, test ve seyrüsefer amaçli alet ve cihazlari;472 15 45;4721550;info.tr@landisgyr.com;www.lunatr.com;lunatr.com;10.014 SOKAK NO:3 İZMİR ATATÜRK ORGANİZE SANAYİ BÖLGESİ
LUPAMAT MAKİNA SANAYİİ A.Ş.;İZMİR;ÇİĞLİ;Hava veya vakum pompalari ile hava veya diger gaz ;(232) 376 87 10;3280474;info@lupamat.com;www.lupamat.com;lupamat.com;10.036 SOKAK NO.3 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
LÜTFİ YEŞİLSAKIZ;İZMİR;ÇİĞLİ;;(232) 489 71 66;4458781;i.ethemyesilsakiz@gmail.com;http://;;10.038 SOKAK NO.7 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
M.KAYA ERTÜRK - OTOMAT SANAYI PARÇA İMALİ;İZMİR;ÇİĞLİ;Rafine edilmis petrol ürünleri imalati;;;erturkkaya@gmail.com;;;10.016 SOKAK NO:58  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MAHLE AFTERMARKET OTOMOTİV TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 251 86 94;2518695;info@mahle.com;www.mahle.com;mahle.com;10.006/1 SOKAK NO.2/5 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MAKROCHEMICAL ENDÜSTRİYEL KİMYASALLAR SAN.TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 03 27;3280306;info@makrochemical.com;http://www.makrochemical.com;makrochemical.com;10.010 SOKAK NO:23 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MAKROCHEMICAL ENDÜSTRİYEL KİMYASALLAR SAN.TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 03 27;3280326;info@makrochemical.com;http://www.makrochemical.com;makrochemical.com;10.044 SOKAK NO:7 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MAKTEK KAZAN RADYATÖR KLİMA SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 03 65;3280486;maktek@maktek.com.tr;http://;;10.008 SOKAK NO.13 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MALDANER METAL EMPRENYE SAN.VE TİC.LTD.ŞTİ. İZMİR ŞUBESİ;İZMİR;ÇİĞLİ;;(262) 335 47 47;02623353331;info@maldaner.com.tr;http://www.maldaner.com.tr;maldaner.com.tr;10.024 SOKAK NO.5 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MAPEKS GIDA SANAYİ MAMÜLLERİ İHRACAT VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 5038147;5038168;info@mapeks.com;;;10.006/1 SOKAK NO.2 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MARMAK OTOMATİK AMB.MAK.SAN. VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 376 72 36;3767238;marmak@marmak.com;www.marmak.com;marmak.com;10.032 SOKAK NO.19 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MARMİDES KİMYA NAKLİYAT SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Temel organik kimyasallarin imalati (hidrokarbonla;(232) 376 83 66;;info@marmides.com;;;10.016 SOKAK NO:58  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MASEKSPORT GIDA VE İHTİYAÇ MADDELERİ TEKSTİL TARIM İHRACAT-İTHALAT SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 22 88;3282050;maseksport@maseksport.com;www.maseksport.com;maseksport.com;10.001 SOKAK NO.19 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MASEKSPORT GIDA VE İHTİYAÇ MADDELERİ TEKSTİL TARIM İHRACAT-İTHALAT SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 22 88;3282050;maseksport@maseksport.com.tr;http://;;10.001 SOKAK NO:17 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MASEKSPORT GIDA VE İHTİYAÇ MADDELERİ TEKSTİL TARIM İHRACAT-İTHALAT SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 22 88;3282050;maseksport@maseksport.com.tr;;;10.001 SOKAK NO:20 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MASEKSPORT GIDA VE İHTİYAÇ MADDELERİ TEKSTİL TARIM İHRACAT-İTHALAT SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Dis giyim esyasi imalati, dokuma, örme (trikotaj) ;(232) 328 22 88;3282050;maseksport@maseksport.com.tr;www.maseksport.com.tr;maseksport.com.tr;10.001 SOKAK NO.18 /B ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MAST YAY ENDÜSTRİYEL MALZEMELERİ SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 376 85 40;3768541;s.oruc@mastyay.com.tr;http://www.mastyay.com.tr;mastyay.com.tr;10.016 SOKAK NO.14  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MATİ İNŞAAT TAAHHÜT TURİZM TİCARET VE SANAYİ LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 388 09 18;3399146;tayfun@yelkenbicer.com;;;10.053 SOKAK NO.4 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MATİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;Ansiklopedi, sözlük, kitap, kitapçik, müzik eserle;(232) 376 86 96;3768699;info@matisambalaj.com;;;M.KEMAL ATATÜRK BUL.NO:13  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MAYTEKS ÖRME SAN. VE TİC. A.Ş.;İZMİR;ÇİĞLİ;Örgü (triko) veya tig isi (krose) kumaslarin imala;(232) 328 09 73;3281546;info@mayteks.com;http://www.mayteks.com;mayteks.com;10.014 SOKAK NO:5 A  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MAYTEKS ÖRME SAN. VE TİC. A.Ş.;İZMİR;ÇİĞLİ;Örgü ve tig isi kumaslarin imalati (penye ve havli;(232) 328 09 73;3281546;mayteks@mayteks.com;www.mayteks.com;mayteks.com;10.007 SOKAK NO:20  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MD TEKSTİL KONFEKSİYON TURİZM SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Dis giyim esyasi imalati, dokuma, örme (trikotaj) ;(232) 376 77 44;3767738;sina.uguz@mdtekstil.com.tr;http://www.mdtekstil.com.tr;mdtekstil.com.tr;M.KEMAL ATATÜRK BUL. NO.34 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MDK MAKİNA DİZAYN KALIP SANAYİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;;(232) 328 19 91;3281993;info@mdkmakina.com.tr;http://www.mdkmakina.com.tr;mdkmakina.com.tr;10.044 SOKAK NO.8  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
ME-VA MAK.DONANIM VE PLAST.PAZ.SAN.VE TIC.LTD.STI.;İZMİR;ÇİĞLİ;;(232) 328 34 70;3283460;servet@eksimpolimer.com;www.eksimplastik.com;eksimplastik.com;10.040 SOKAK NO.3  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEBRULE YALÇIN;İZMİR;ÇİĞLİ;Bitkisel ve hayvansal üretim ile avcilik ve ilgili;(232) 376 89 12;3768912;;;;10.023 SOKAK NO.1  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MED TIP MALZEMELERİ İTHALAT İHRACAT SAN.VE TİC.LTİ.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 386 62 26;3866244;info@medtr.com;http://www.medtr.com;medtr.com;10.023 SOKAK NO:7   ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEHMET AKAY;İZMİR;ÇİĞLİ;;(232) 421 46 48;4214650;;;;10.022 SOKAK NO.16  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEHMET ALİ KAPTANOĞLU;İZMİR;ÇİĞLİ;;(232) 464 71 77;4647176;makaptanoglu@gmail.com;http://;;10.015 SOKAK NO.17 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEHMET ALİ ÖZEN- ÖZEN MÜHENDISLIK TAAH.VE TIC.;İZMİR;ÇİĞLİ;Bina ve bina disi yapilarin (ulasim aydinlat.ve si;(232) 376 79 37;3767938;info@ozenenerji.net;;;10.041 SOKAK NO.24  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEHMET ÇOBANLAR HEDEF MAKİNA;İZMİR;ÇİĞLİ;;;;mehmet@hedefmak.com;http://;;10.024 SOKAK NO.2  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEHMET FEYYAZ ERTÜRK / AYŞE BERRİN ERTÜRK;İZMİR;ÇİĞLİ;Metallerin makinede islenmesi ve sekil verilmesi;;3767469;;;;10.027 SOKAK NO.11  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEHMET KALTABAN ORMAN ÜRÜNLERİ SAN.VE TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Mobilya imalati;;;mustafakaltaban@icloud.com;http://www.mehmetkaltabanormanurunleri.com;mehmetkaltabanormanurunleri.com;10.034 SOKAK NO:1/1 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEHMET ÖZYÜREK;İZMİR;ÇİĞLİ;Süpürge ve firça imalati;(232) 246 05 95;3281900;ozyurek_ozyurek@hotmail.com;;;10.023 SOKAK NO.14  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEHMET PULAK;İZMİR;ÇİĞLİ;Baska yerde siniflandirilmamis diger özel amaçli m;(232) 328 08 14;3280827;mpulak@hotmail.com;;;10.026 SOKAK NO:20  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEHMET SAYIL DİNÇSOY;İZMİR;ÇİĞLİ;Et ve kümes hayvanlari etlerinden üretilen ürünler;(232) 376 73 00;3767030;elektral@elektral.com.tr;http://www.elektral.com.tr;elektral.com.tr;10.022 SOKAK NO:6  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEHMET UFUK DURMAN;İZMİR;ÇİĞLİ;;(232) 376 76 89;3280367;durmanambalaj@gmail.com;;;10.016 SOKAK NO.66  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEHMET YAPUCU;İZMİR;ÇİĞLİ;;(232) 327 54 27;3275429;;;;10.040 SOKAK NO.20 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEHMET YAPUCU;İZMİR;ÇİĞLİ;Giyim esyasi disindaki tamamlanmis tekstil ürünler;(232) 327 54 27;3275429;;;;10.040 SOKAK NO.22 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEHMET YAPUCU;İZMİR;ÇİĞLİ;;(232) 327 54 27;3275429;info@pamukkaletekstil.com.tr;www.pamukkaletekstil.com;pamukkaletekstil.com;10.021 SOKAK NO.9  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEK İNŞAAT SANAYİ VE TİCARET A.Ş.;İZMİR;ÇİĞLİ;Ikamet amaçli binalarin insaati (müstakil konutlar;(232) 464 68 41;4632203;info@mek-insaat.com;www.mek-insaat.com;mek-insaat.com;10.007 SOKAK NO.8 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MELEK SERPİL AKAN;İZMİR;ÇİĞLİ;;(232) 324 11 57;3241157;;;;10.022 SOKAK NO.13  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MEMİŞOĞLU TARIM ÜRÜNLERİ TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;;(232) 469 96 34;4699635;izmir@tatbakliyat.com;http://www.tatbakliyat.com;tatbakliyat.com;10.006/1 SOKAK NO: 26  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MENSA SİGORTA EKSPERTİZ HİZMETLERİ LTD.ŞTİ.;İZMİR;ÇİĞLİ;Ikamet amaçli olmayan binalarin insaati (fabrika, ;;;mensaizmir@gmail.com;;;10.016 SOKAK NO.44 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MERT ÖZKERTAN;İZMİR;ÇİĞLİ;Ana metal sanayii;;3280609;mertkertan@gmail.com;http://;;10.027 SOKAK NO.4  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MERT ÖZKERTAN;İZMİR;ÇİĞLİ;Rafine edilmis petrol ürünleri imalati;(232) 328 06 00;3280609;mertkertan@gmail.com;http://;;10.040 SOKAK NO.9  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MERYEM BAYIK;İZMİR;ÇİĞLİ;Elektrik motorlarinin, jeneratörlerin ve transform;;8227091;nezihcircir@hotmail.com;;;10.022 SOKAK NO.14  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
METE ENERJİ KABLO VE ELK.MALZ.SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Kablolamada kullanilan gereçlerin imalati (fis, so;(232) 376 86 86;3768649;info@mete-enerji.com.tr;www.mete-enerji.com.tr;mete-enerji.com.tr;10.007 SOKAK NO:34 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
METE KAUÇUK SAN VE TİC.A.Ş. ÇİĞLİ ŞUBESİ;İZMİR;ÇİĞLİ;Kauçuktan iç lastiklerin imalati (dis lastikler iç;(232) 433 70 35;4337037;bilgi@metekaucuk.com;www.metekaucuk.com;metekaucuk.com;10.021 SOKAK NO.25 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
METİN BAYKAL;İZMİR;ÇİĞLİ;;(232) 839 04 20;8390421;muhasebe@mb-concept.de;;;10.053 SOKAK NO.11 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
METİN PAMUKÇU;İZMİR;ÇİĞLİ;;;;info@apleks.com;http://;;10.022 SOKAK NO.11 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
METOD KALIPÇILIK TİC.SAN.KOLL.ŞTİ.KENAN AYDAN ORTAĞI;İZMİR;ÇİĞLİ;;(232) 376 78 27;3767830;info@sistasforge.com;http://;;10.016 SOKAK NO.28  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
METROPOL UN ÜRÜNLERİ SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Firincilik ürünlerinin imalatinda kullanilan hamur;(232) 328 33 27;3282384;info@metropolun.com.tr;www.metropolunurunleri.com.tr;metropolunurunleri.com.tr;10.046 SOKAK NO:16  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
METROPOL UN ÜRÜNLERİ SAN.VE TİC.A.Ş. ÇİĞLİ ŞUBESİ;İZMİR;ÇİĞLİ;;(232) 328 33 27;3282384;info@metropolun.com.tr;http://www.metropolunurunleri.com.tr;metropolunurunleri.com.tr;10.048 SOKAK NO.3/1  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MİLAGRO YEM KATKILARI  SAN. VE  TİC. A.Ş. ÇİĞLİ ŞUBESİ;İZMİR;ÇİĞLİ;;;;muhasebe@milagro.com.tr;http://www.milagroyem.com;milagroyem.com;10.040 SOKAK NO.9  ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MİMAR TAHSİN ERKAN YAT İNŞA TURİZM İNŞAAT VE PLASTİK SAN.TİC.LTD.ŞTİ.;İZMİR;ÇİĞLİ;Baska yerde siniflandirilmamis plastik insaat malz;(232) 328 24 12;3282413;info@tekorplast.net;http://www.tekorplast.net;tekorplast.net;10.016 SOKAK NO:48 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MİSTAŞ MENTEŞE İNŞ.SAN.TİC.A.Ş.;İZMİR;ÇİĞLİ;Baska yerde siniflandirilmamis diger özel amaçli m;4895654;;info@mistas.com.tr;www.mistas.com.tr;mistas.com.tr;10.025 SOKAK NO.10 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
MOPAK KAĞIT KARTON SAN.VE TİC.A.Ş.;İZMİR;ÇİĞLİ;Kagit ve mukavva imalati (daha ileri sanayi isleml;(232) 877 02 35;8770230;mopak@mopak.com.tr;www.mopak.com.tr;mopak.com.tr;10.003 SOKAK NO.11 ATATÜRK ORGANİZE SANAYİ BÖLGESİ
