Firma Adı;Sektör;Telefon;Web Sitesi;Domain;Adres
MEDENİ BASKÜL SAN. VE TİC.LTD.ŞTİ.;Bilgisayarların, Elektronik ve Optik Ürünlerin İmalatı;+90 (322)441-0321;http://www.medenibaskul.com.tr;medenibaskul.com.tr;Acidereosb Mahallesi Kenan Evren Bulvari No: 8
MEKANİK EMLAK ORGANİZASYON İNŞ. İLKİM. SİS. DOĞALGAZ MÜH. SAN. VE TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (507)753-7375;http://mekatrade.net/;mekatrade.net;Acidereosb Mahallesi Çanakkale Caddesi No: 9
MELTEM KİMYA VE TEKS.SAN.İTH.İHR. VE TİC.A.Ş. ORGANİZE SANAYİ PET POLYESTER TESİSLERİ ŞUBESİ;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-5220;http://www.meltemkimya.com.tr;meltemkimya.com.tr;Acidereosb Mahallesi Istiklal Caddesi No: 11
METALART ÇELİK ENDÜSTRİ MAK. İML. MONT. İNŞ. SAN. VE TİC. A. Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 546 126 5020;https://www.metalartendustri.com.tr/;metalartendustri.com.tr;Acıdereosb Mahallesi 23 Nisan Caddesi 4  Sarıçam / Adana
METEKS MODA DOKUMA KUM.SAN.VE TİC.LTD.ŞTİ.;Tekstil Ürünlerinin İmalatı;+90 (322)394-3616;http://www.meteksmoda.com;meteksmoda.com;Acidereosb Mahallesi 30 Ağustos Caddesi No: 4
METRO TOPLU YEMEK HİZMETLERİ TİC.LTD.ŞTİ.;Gıda Ürünleri İmalatı;+90 (322)394-4349;http://www.metroyemek.com;metroyemek.com;Acidereosb Mahallesi Ordu Caddesi No: 2
MİGROS TİC. A.Ş.;Diğer İmalatlar;+90 (850)310-1440;http://www.migros.com.tr;migros.com.tr;Acidereosb Mahallesi Celal Bayar Bulvari No: 6
MONDİ TURKEY OLUKLU MUKAVVA KAĞIT VE AMBALAJ SANAYİ ANONİM ŞİRKETİ;Ağaç, Ağaç Ürünleri ve Mantar Ürünleri İmalatı, Kağıt ve Kağıt Ürünlerinin İmalatı;+90 (322)394-3364;https://www.mondigroup.com.tr/;mondigroup.com.tr;Acidereosb Mahallesi Turgut Özal Bulvari No: 12
MS TÜTÜN VE TÜTÜN MAMULLERİ SİGARA KAĞ. MAKARON SAN. TİC. LTD. ŞTİ.;Tütün Ürünleri İmalatı;+90 (322)520-2000;http://www.papertobacco.com;papertobacco.com;Acidereosb Mahallesi Abdullah Gül Bulvari No:19
MURAT METAL BORU PRO.DEM.İNŞ.TİC.VE SAN.LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-5090;http://www.murmet.com;murmet.com;Acidereosb Mahallesi Seyhan Caddesi No: 8
NERGİZ TOPRAK MAHSULLERİ SAN.VE TİC.LTD.ŞTİ.;Gıda Ürünleri İmalatı;+90 (322)394-4154;http://www.nergiztarim.com.tr;nergiztarim.com.tr;Acidereosb Mahallesi Baklali Caddesi No: 25
NETAFIM SULAMA SİSTEMLERİ TİC.LTD.ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-4414;http://www.netafim.com.tr;netafim.com.tr;Acidereosb Mahallesi Oğuz Kağan Köksal Caddesi No: 6
NORM MÜH.MAK.SAN.TAAH.VE TİC.LTD.ŞTİ.;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;+90 (322)394-3831;http://www.normmuhendislik.com;normmuhendislik.com;Acidereosb Mahallesi Seyhan Caddesi No: 12
Noyaner Motorlu Araçlar Endüstriyel Ürünler San. ve Tic. Ltd. Şti.;Fabrikasyon Metal Ürünleri İmalatı;0322 370 09 09;https://noyaner.hyundaiplaza.com.tr/;noyaner.hyundaiplaza.com.tr;Levent Mahallesi Girne Bulvarı No: 264 Adana Yüreğir
NT KOÇAK METAL SAN. TAR. GIDA İNŞ. NAK. TEKS. SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (850)477-2015;http://www.kocaktelorgu.com.tr;kocaktelorgu.com.tr;Acidereosb Mahallesi Ceyhan Caddesi No: 2
NUR İLAÇ VE İLAÇLAMA MAK.PAZ.VE SER.HİZ.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-3391;http://www.nurilac.com.tr;nurilac.com.tr;Acidereosb Mahallesi Süleyman Demirel Bulvari No: 32
NUR-İŞ PVC KERESTE İNŞ.TAAH.YAPI ELEMANLARI PAZ.SAN.VE TİC.LTD.ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)234-4080;http://www.nur-is.com.tr;nur-is.com.tr;Acidereosb Mahallesi Sedef Caddesi No: 9
Nurpelet Gıda ve Enerji Sanayi Ticaret Limited Şirketi;Ağaç, Ağaç Ürünleri ve Mantar Ürünleri İmalatı;+90(322)346-6116;https://emremakinasan.com.tr;emremakinasan.com.tr;Acıdereosb Mahallesi Dökümcüler Caddesi No: 7 Adana Sarıçam
OFİS YEM GIDA SANAYİ TİCARET ANONİM ŞİRKETİ;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı, Gıda Ürünleri İmalatı;+90 (312)837-0622;https://www.ofisyem.com.tr;ofisyem.com.tr;Acidereosb Mahallesi 30 Ağustos Caddesi No: 3
OĞUZ GIDA SAN.VE TİC.A.Ş.;İçeceklerin İmalatı;+90 (322)394-3692;http://www.oguzgida.com.tr;oguzgida.com.tr;Acidereosb Mahallesi Turgut Özal Bulvari No: 31
OĞUZ TEKSTİL SAN.VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;+90 (322)394-4053;http://www.oguztekstil.com.tr;oguztekstil.com.tr;Acidereosb Mahallesi Vatan Caddesi No: 4
ORİS TARIM GÜBRE SANAYİ VE TİC.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-4999;http://www.oristarim.com;oristarim.com;Acidereosb Mahallesi Ismet Atli Caddesi No: 1
ORTADOĞU ALÜMİNYUM SAN. VE TİC. A. Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3721;http://www.ortadogualuminyum.com.tr;ortadogualuminyum.com.tr;Acidereosb Mahallesi Ceyhan Caddesi No: 5
OVA TEKSTİL SAN.VE TİC.LTD.ŞTİ.;Tekstil Ürünlerinin İmalatı;+90 (322)394-4616;http://www.ovatekstil.com.tr;ovatekstil.com.tr;Acidereosb Mahallesi Toros Caddesi No: 4
OYAK ÇİMENTO FABRİKALARI ANONİM ŞİRKETİ;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)394-3418;http://www.oyakbeton.com.tr;oyakbeton.com.tr;Acidereosb Mahallesi Çanakkale Caddesi No: 25
Öner Separator San. Tic. Ltd. Şti.;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;+90(322)394-4403;https://onerseparator.com;onerseparator.com;Acıdereosb Mahallesi Anafartalar Caddesi No: 17 Adana Sarıçam
ÖNER TARIM GIDA İTH. İHR. A. Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4403;https://www.onerseparator.com.tr/;onerseparator.com.tr;Acidereosb Mahallesi Cumhuriyet Bulvari No: 6
ÖZ-KA TARIM ÜRÜNLERİ İTHALAT İHRACAT VE TİCARET LİMİTED ŞİRKETİ;Kauçuk ve Plastik Ürünlerin İmalatı;+90 532 253 0652;https://www.ozkatarim.com/;ozkatarim.com;Acıdereosb Mahallesi İsmet Atlı Caddesi No: 13  Sarıçam / Adana
Öz-Ökmenler Orman Ürünleri-İnşaat- Ticaret ve Sanayi Limited Şirketi;Ağaç, Ağaç Ürünleri ve Mantar Ürünleri İmalatı;+90(322)346-2598;https://ozokmenler.com;ozokmenler.com;Levent Mahallesi 1831 Sokak No: 8/A Adana Yüreğir
ÖZ-ÖKMENLER ORMAN ÜRÜNLERİ-İNŞAAT- TİCARET VE SANAYİ LİMİTED ŞİRKETİ;Ağaç, Ağaç Ürünleri ve Mantar Ürünleri İmalatı;+90 (322)346-2598;http://www.ozokmenler.com;ozokmenler.com;Levent Mahallesi 1831 Sokak No: 8/A
ÖZERCİYES TARIM ÜRN.SAN.VE TİC.LTD.ŞTİ.;Gıda Ürünleri İmalatı;+90 (322)394-5230;http://www.ozerciyeskuruyemis.com;ozerciyeskuruyemis.com;Acidereosb Mahallesi 19 Mayis Caddesi No: 8
ÖZKANLAR BASKÜL SAN.VE TİC.LTD.ŞTİ.;Bilgisayarların, Elektronik ve Optik Ürünlerin İmalatı;+90 (322)321-2622;http://www.ozkanlarbaskul.com.tr;ozkanlarbaskul.com.tr;Acidereosb Mahallesi Atatürk Bulvari No: 32
ÖZKOL ALÜMİNYUM MAK. PLAS. İTH. İHR. SAN. TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)290-3210;https://www.ozkol.com.tr/;ozkol.com.tr;Acidereosb Mahallesi Cumhuriyet Bulvari No: 13
ÖZLER TARIM ÜRÜNLERİ ÜRETİM PAZARLAMA SANAYİ VE TİCARET ANONİM ŞİRKETİ;Gıda Ürünleri İmalatı;+90 (322)454-5143;http://www.ozlertarim.com.tr;ozlertarim.com.tr;Acidereosb Mahallesi Cumhuriyet Bulvari No: 10
Özlü Kardeşler Pet. Ürn. ve Paz. İth. İhr. Ltd. Şti.;Gıda Ürünleri İmalatı;+90(322)394-3315;https://ozlukardesler.com.tr;ozlukardesler.com.tr;Acıdereosb Mahallesi 5 Ocak Caddesi No: 6 Adana Sarıçam
ÖZPINAR TİC. PAZ. VE SAN. LTD. ŞTİ.;Mobilya İmalatı;+90 (322)394-5205;http://www.hevin.com.tr;hevin.com.tr;Acidereosb Mahallesi Ismet Atli Caddesi No: 24
ÖZTEKNİK ENERJİ ELEKTROMARKET ELEKTRİK MAK. MOTOR BOBİNAJ İMALAT TAAH. SAN. İÇ VE DIŞ TİC.LTD.ŞTİ.;Elektrikli Teçhizat İmalatı;+90 (322)394-4013;http://www.ozteknikenerji.com.tr;ozteknikenerji.com.tr;Acidereosb Mahallesi Turgut Özal Bulvari No: 16
Paleks Geri Dönüşüm Çözümleri Anonim Şirketi;Ağaç, Ağaç Ürünleri ve Mantar Ürünleri İmalatı;+90(216)693-1363;https://palex-tr.com/;palex-tr.com;Acıdereosb Mahallesi Zafer Caddesi 9 Adana Sarıçam
PALMİYE DOKUMA İPLİK TEKSTİL SAN. VE TİC. A. Ş.;Giyim Eşyalarının İmalatı, Tekstil Ürünlerinin İmalatı;+90 (322)394-3666;http://www.palmiyedokuma.com.tr;palmiyedokuma.com.tr;Acidereosb Mahallesi Toros Caddesi No: 13
PANEL ELEKTRİK HİDROLİK MAKİNA SAN.VE TİC.LTD.ŞTİ.;Elektrikli Teçhizat İmalatı;+90 (322)394-3697;http://www.panelelektrik.com;panelelektrik.com;Acidereosb Mahallesi Turgut Özal Bulvari No: 39
PARLAK BOYA SAN.VE TİC.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-4047;http://www.parlakboya.com;parlakboya.com;Acidereosb Mahallesi Lale Sokak No: 7
PARPEN PLASTİK TEKS. GIDA İTH. İHR. TİC. SAN. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)429-3399;http://www.parpen.com.tr;parpen.com.tr;Acidereosb Mahallesi Toros Caddesi No: 10
PEBA TEKSTİL SAN.VE TİC.A.Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-3432;http://www.pe-ba.com;pe-ba.com;Acidereosb Mahallesi 5 Ocak Caddesi No: 18
PERİL KOLLEKTİF ŞİRKETİ BÜLENT ERTÜYÜN VE ORTAĞI;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-3863;http://www.perilkimya.com;perilkimya.com;Ataköy 7/8.Kisim Turkuaz Sitesi A20-A Blok No: 8
PEROS KİMYA KAĞ.HİJ.ÜRN.DET.VE TEM.SAN.TİC. A.Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-4111;http://www.beyazkagit.com.tr;beyazkagit.com.tr;Acidereosb Mahallesi Anavarza Caddesi No: 3
PİDOK PLASTİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-3767;http://www.pidok.com.tr;pidok.com.tr;Acidereosb Mahallesi Seyhan Caddesi No: 14
PİLYEM GIDA TARIM SAN.VE TİC. A.Ş.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı, Gıda Ürünleri İmalatı;+90 (322)394-4523;http://www.pilyem.com.tr;pilyem.com.tr;Acidereosb Mahallesi Anafartalar Caddesi No: 4
PLASTEKS PLAS.TEKS.AMB.SAN.VE TİC. A.Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-4230;http://www.plasteks.com;plasteks.com;Acidereosb Mahallesi Halet Çambel Caddesi No: 2
Plaş Plastik Ambalaj San. ve Tic. A.Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;+90(322)436-1033;https://www.plas.com.tr/;plas.com.tr;Acıdereosb Mahallesi Hilal Caddesi 10 Adana Sarıçam
Polat Sebze Meyve Narenciye San. ve Tic. A. Ş.;Gıda Ürünleri İmalatı;;https://polatnarenciye.com.tr/;polatnarenciye.com.tr;Gazi Mahallesi İnönü Bulvarı No: 187/A Mersin Akdeniz
POLİSAN YAPIKİM YAPI KİMYASALLARI SAN. VE TİC. A. Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)502-1111;http://www.polisan.com.tr;polisan.com.tr;Acidereosb Mahallesi Atatürk Bulvari No: 13
Proper Perlit Gıda Kimya İth. İhr. ve San. Tic. Ltd. Şti.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;;https://properperlit.com.tr/;properperlit.com.tr;Acıdereosb Mahallesi Zafer Caddesi 6 Adana Sarıçam
PROSER POLİMER BOYA KİMYA MAKİNA TEKSTİL İNŞ. İTH. İHR. SAN. VE TİC. LTD. ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-4745;http://www.proserchemicals.com;proserchemicals.com;Acidere Mahallesi 6708 Sokak Doğu Sanayi Sitesi E-1 Blok No: 3/C
RAMAZAN SERT;Diğer İmalatlar;+90 (322)394-3300;http://www.sertnakliyat.com;sertnakliyat.com;Acidereosb Mahallesi Turgut Özal Bulvari No: 8
RASTAŞ AMB.KAPAK MAK.SAN.VE TİC.LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3844;http://www.rastas.com.tr;rastas.com.tr;Acidereosb Mahallesi Çanakkale Caddesi No: 26
RAYVAG VAGON SAN. VE TİC A.Ş.;Diğer Ulaşım Araçlarının İmalatı;+90 (322)394-5080;https://rayvag.com.tr/;rayvag.com.tr;Acidereosb Mahallesi Celal Bayar Bulvari No: 28
REALTEKS TEKSTİL DENİM İŞLETMELERİ ANONİM ŞİRKETİ;Tekstil Ürünlerinin İmalatı;+90 (322)503-4040;https://www.realteks.com/;realteks.com;Acidereosb Mahallesi Recep Tayyip Erdoğan Bulvari No: 9
RECONSAN TÜTÜN SAN. VE TİC. LTD. ŞTİ.;Tütün Ürünleri İmalatı;+90 (322)394-4728;http://www.reconsantobacco.com;reconsantobacco.com;Acidereosb Mahallesi Atatürk Bulvari No: 21
Rhosus Mobility Elektrikli Ulaşım Araçları San. ve Tic. A. Ş.;Diğer Ulaşım Araçlarının İmalatı;+90(322)550-5001;https://rhosus.com.tr/;rhosus.com.tr;Acıdereosb Mahallesi Baklalı Caddesi 22 Adana Sarıçam
RİGA BOYA YAPI KİM.MADENİ YAĞ SAN.TİC.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-5200;http://www.rigaboya.com;rigaboya.com;Acidereosb Mahallesi 5 Ocak Caddesi No: 8
Rimaş Deri Gıda ve Hayvan Ürünleri San. ve Tic. Ltd. Şti.;Gıda Ürünleri İmalatı;+90(549)599-5102;https://rimas.com.tr;rimas.com.tr;Acıdereosb Mahallesi Oğuz Kağan Köksal Caddesi No: 4 Adana Sarıçam
ROYAL PANO ELEKTRİK YANGIN SÖNDÜRME SİS. İNŞ. SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 507 500 9958;https://www.royalyanginsistemleri.com.tr/;royalyanginsistemleri.com.tr;Acıdereosb Mahallesi Ceyhan Caddesi No: 13  Sarıçam / Adana
Rt Kauçuk Poliüretan ve Makina San. Tic. Ltd. Şti.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 533 969 46 64;https://rtmakina.com;rtmakina.com;A.O.S.B, Acıdere OSB Mah. Abdullah Gül Bulvarı, No:21, 01350 Sarıçam / Adana
Ruşen Civata Otomotiv Sanayi ve Ticaret Ltd. Şti.;Fabrikasyon Metal Ürünleri İmalatı;+90(322)311-4111;https://www.rusencivata.com.tr/;rusencivata.com.tr;Haydaroğlu Mahallesi Karataş Bulvarı No: 348/A Adana Yüreğir
SABUNCULAR SOĞUK HAVA DEPOSU KÖMÜRCÜLÜK GIDA TAR.ÜRN.NAK.İNŞ.TAAH.AMB.SAN. VE TİC.LTD.ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)502-0404;http://www.sabuncular.com.tr;sabuncular.com.tr;Acidereosb Mahallesi 15 Temmuz Şehitler Caddesi No: 15
SAFAŞ SAF PLASTİK SAN. VE TİC.A.Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)346-4881;http://www.safas.com.tr;safas.com.tr;Acidereosb Mahallesi Başak Caddesi No: 9
SAINT GOBAİN WEBER YAPI KİMYASALLARI SAN.VE TİC. A.Ş.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)394-3055;http://www.weber.com.tr;weber.com.tr;Kemalpaşa Osb Mahallesi Kuyucak Yolu Sokak No: 284
SAMİ TRAFO ANONİM ŞİRKETİ;Elektrikli Teçhizat İmalatı;+90 (322)394-3220;https://stdtransformer.com/tr/;stdtransformer.com;Acidereosb Mahallesi Anafartalar Caddesi No: 11
SAMSUN MAKİNA SAN. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)503-0460;http://www.samsunmakina.com.tr;samsunmakina.com.tr;Acidereosb Mahallesi Abdullah Gül Bulvari No: 15
SARMAK MAKİNA KOMPRESÖR POMPA SAN.VE TİC. A.Ş.;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;+90 (322)394-5504;http://www.sarmak.com;sarmak.com;Acidereosb Mahallesi Celal Bayar Bulvari No: 39
SARTEKS MAKİNA SAN.VE TİC. A. Ş.;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;+90 (322)332-7050;http://www.sarteks.com.tr;sarteks.com.tr;Acidereosb Mahallesi Celal Bayar Bulvari No: 37
SARTEN AMBALAJ SAN. VE TİC. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)385-2880;http://www.sarten.com.tr;sarten.com.tr;Acidereosb Mahallesi Zübeyde Hanim Caddesi No: 6
SCA METAL İNŞ.TAAH.YALITIM İZOLASYON SAN. VE TİC. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)502-0880;https://scametal.com.tr/;scametal.com.tr;Acidereosb Mahallesi Hilal Caddesi No: 5
SENAPA STAMPA AMB. SAN. VE TİC. A.Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (262)751-2590;http://www.senapastampa.com;senapastampa.com;Acidereosb Mahallesi Sümbül Sokak No: 2
SEPAŞ PLASTİK AMBALAJ SANAYİ VE TİCARET ANONİM ŞİRKETİ;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-4636;http://www.sepasplastik.com.tr;sepasplastik.com.tr;Acidereosb Mahallesi Sabanci Caddesi No: 5
SERA ELEKTROMARKET SAN.İÇ VE DIŞ TİC.LTD.ŞTİ.;Elektrikli Teçhizat İmalatı;+90 (322)359-3060;http://www.seraelektromarket.com.tr;seraelektromarket.com.tr;Acidereosb Mahallesi Vatan Caddesi No: 13
SERA ENDÜSTRİYEL AMBALAJ GIDA LOJİSTİK  SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 533 365 40 96;https://seraendustriyel.com.tr/;seraendustriyel.com.tr;Yeşiloba Mahallesi 46069 Sokak Yeşiloba İş Merkezi No: 9/2  Seyhan/Adana
SES KİMYA SAN.VE TİC.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-3734;http://www.bilsenkimya.com;bilsenkimya.com;Acidereosb Mahallesi Ismet Atli Caddesi No: 1
SET TOHUMCULUK GIDA TARIM SAN.VE TİC. A.Ş.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;+90 (322)394-3366;http://www.settokumculuk.com.tr;settokumculuk.com.tr;Acidereosb Mahallesi Turgut Özal Bulvari No: 35
SEY-TEKS SEYHAN TEKSTİL SAN VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;+90 (322)394-3590;https://seyteks.com/;seyteks.com;Acidereosb Mahallesi Şehitler Sokak No: 4
SGA TEKSTİL TİCARET PAZARLAMA LİMİTED ŞİRKETİ;Tekstil Ürünlerinin İmalatı;+90 (322)394-3805;http://www.sgatextile.com;sgatextile.com;Acidereosb Mahallesi Yaşar Doğu Caddesi No: 19
SHAMLAN TOBACCO TÜTÜN MAMULLERİ SAN. VE TİC. A. Ş.;Tütün Ürünleri İmalatı;+90 322 504 40 99;https://www.shamlantobacco.com/;shamlantobacco.com;Acıdereosb Mahallesi Cumhuriyet Bulvarı No: 6  Sarıçam / Adana
SİKA MBCC TURKEY YAPI KİMYASALLARI SANAYİ VE TİCARET LİMİTED ŞİRKETİ ADANA ŞUBESİ;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-4823;https://tur.sika.com/;tur.sika.com;Acidereosb Mahallesi Magarsuz Caddesi No: 10
SİMGETEK İMALAT VE MÜHENDİSLİK A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4840;http://www.simgetek.com;simgetek.com;Acidereosb Mahallesi Karacaoğlan Caddesi No: 4
SİNANATLAS PLASTİK SAN. TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90(322)394-5102;https://www.sinanatlasplastik.com/;sinanatlasplastik.com;Acidereosb Mahallesi Anafartalar Caddesi No: 7
SİSTEM MOBİLYA DOĞ.DEK.SAN.İNŞ.TEKS.TİC. A.Ş.;Mobilya İmalatı;+90 (322)394-4168;http://www.sistemamutfak.com;sistemamutfak.com;Acidereosb Mahallesi Abdullah Gül Bulvari No: 18
SİVTEKS TEKS.TİC.VE SAN.A.Ş.;Tekstil Ürünlerinin İmalatı;+90 (322)394-3893;http://www.sivteks.com.tr;sivteks.com.tr;Acidereosb Mahallesi Ankara Caddesi No: 6
SOMTECH ENDÜSTRİYEL TESİS İML. MON. SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (533) 556 02 58;https://www.somtech.com.tr/;somtech.com.tr;
Soudal Yapı Kimyasalları San. ve Tic. A. Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90(216)504-0292;https://www.soudalturkiye.com/;soudalturkiye.com;Acıdereosb Mahallesi Başak Caddesi 5 Adana Sarıçam
SÖNMEZLER PETROLCÜLÜK TAŞ. SAN. VE TİC. A.Ş.;Diğer İmalatlar;+90 (322)394-3622;http://www.sonmezlergroup.com;sonmezlergroup.com;Acidereosb Mahallesi Atatürk Bulvari No: 16
SP ENERJİ ELEKTRİK ÜRETİM LİMİTED ŞİRKETİ;Elektrikli Teçhizat İmalatı;+90 (322)457-3232;http://www.spenerji.com.tr;spenerji.com.tr;Acidereosb Mahallesi Hilal Caddesi No: 6
STARKON GIDA TARIM SAN. VE TİC. A.Ş.;İçeceklerin İmalatı;+90 (322)503-0182;http://www.oguzgida.com.tr;oguzgida.com.tr;Acidereosb Mahallesi Abdullah Gül Bulvari No: 10
STP PETROL İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;Diğer İmalatlar;+90 (322)394-3760;http://www.stppetrol.com;stppetrol.com;Acidereosb Mahallesi Celal Bayar Bulvari No: 5
Strong Enerji San. ve Tic. Ltd. Şti.;Kok Kömürü ve Rafine Edilmiş Petrol Ürünleri İmalatı;+90(322)503-7287;https://strongenerji.com/;strongenerji.com;Acıdereosb Mahallesi Oğuz Kağan Köksal Caddesi 14 Adana Sarıçam
Sumi Agro Turkey Tarım İlaçları San. ve Tic. A.Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90(212)276-1091;https://www.sumiagro.com/;sumiagro.com;Acıdereosb Mahallesi Zafer Caddesi 7 Adana Sarıçam
SÜMBÜL ÇELİK KONSTRÜKSİYON MAKİNA İMALAT MONTAJ İNŞ. SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)502-0058-79;http://www.sumbul.com.tr;sumbul.com.tr;ACIDEREOSB MAHALLESİ ŞEHİT ÖMER HALİSDEMİR CADDESİ NO:24 SARIÇAM/ADANA
Şal Hafriyat Nakliyat İnşaat Sanayi ve Ticaret Limited Şirketi;Fabrikasyon Metal Ürünleri İmalatı;+90(322)259-0303;https://kalogrup.com.tr;kalogrup.com.tr;Acıdereosb Mahallesi Baklalı Caddesi No: 14 Adana Sarıçam
Şalt Elektrik İnş. İth. İhr. San. ve Tic. Ltd. Şti.;Elektrikli Teçhizat İmalatı;+90(322)503-5163;http://saltelektrik.com/;saltelektrik.com;Acıdereosb Mahallesi Çanakkale Caddesi 3 Adana Sarıçam
ŞENPİLİÇ GIDA SANAYİ ANONİM ŞİRKETİ;Gıda Ürünleri İmalatı;+90 (322)503-5171;https://www.senpilic.com.tr;senpilic.com.tr;Acidereosb Mahallesi Şehit Ömer Halisdemir Caddesi No: 36
ŞİPAL MOB. GIDA VE TAR.ÜRN.SAN.TİC.LTD.ŞTİ.;Mobilya İmalatı;+90 (322)394-3707;http://www.sipalmobilya.com.tr;sipalmobilya.com.tr;Acidereosb Mahallesi Anafartalar Caddesi No: 13
TADIM SEBZE MEYVE İŞL.VE KONS.SAN.TİC.A.Ş.;Gıda Ürünleri İmalatı;+90 (322)394-3949;http://www.tadim.com.tr;tadim.com.tr;Acidereosb Mahallesi Cumhuriyet Bulvari No: 14
TAT NİŞASTA SAN.VE TİC. A.Ş.;Gıda Ürünleri İmalatı;+90 (322)394-3878;http://www.tatnisasta.com.tr;tatnisasta.com.tr;Acidereosb Mahallesi Ankara Caddesi No: 14
Tatşen Pazarlama Gıda San.Ve Tic. Ltd. Şti.;Gıda Ürünleri İmalatı;+90(322)431-2929;https://tatsen.com.tr;tatsen.com.tr;Şakirpaşa Mahallesi Turhan Cemal Beriker Bulvarı No: 213/A Adana Seyhan
TEKİNSAN MAKİNE İMALAT MON. İNŞ. ELEK. TEM. TURZ. TAAH. TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4004;http://www.tekinsan.com.tr;tekinsan.com.tr;Acidereosb Mahallesi 23 Nisan Caddesi No: 4
TEKNİK BAĞLANTI ELEMANLARI SAN.VE TİC. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-5088;http://www.teknikbaglanti.com.tr;teknikbaglanti.com.tr;Acıdere OSB Oğuz Kağan Köksal Cd. No:8 Sarıçam/ADANA
